Key,English,Vietnamese
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,Hôm trước tôi đã suýt bị giết bởi Blades phản bội nhưng tôi không thể dừng lại bây giờ. Không cần biết Hội Sử học muốn gì.
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,Bạn sẽ giúp tôi bất chấp nguy hiểm chứ?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","Tôi biết bạn sẽ làm! Đầu tiên, hãy mang cho tôi 5 tảng đá từ mỗi lục địa trong số 3 lục địa có người sinh sống. Mỗi lục địa có một Altar, hãy mang cho tôi những tảng đá từ mỗi lục địa này."
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,Cảm ơn vì đã lắng nghe tôi. Tôi hiểu nếu bạn không muốn mạo hiểm mạng sống của mình.
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,Hmm .. Đây chính xác là những gì tôi mong đợi. Tôi sẽ tìm hiểu thêm về chuyện này nhưng trước khi bạn đi thì xin hãy...
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.",...bạn phải thật sự cẩn thận đấy. Tôi khá chắc rồi bạn cũng sẽ vào tầm ngắm của bọn sát thủ từng cố gắng ám sát tôi thôi.  
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","Hãy mang cho tôi 5 tảng đá từ mỗi lục địa - Flaris, Darkon và Saint Morning. Chúc may mắn!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,Có những bàn thờ cổ ở mỗi lục địa. Hãy mang cho tôi 5 tảng đá từ mỗi lục địa.
PROPQUEST_SCENARIO_INC_000327,Plot Begins,Cốt truyện bắt đầu
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...","Đây là bằng chứng cho thấy các lục địa đã từng là một khối đất liền. Tôi tin tưởng giao cho bạn thông tin này bởi vì, à thì..."
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,..chúng ta đang ở trên cùng một con thuyền. Chúng ta đều gặp nguy hiểm. Bạn sẽ đồng hành với tôi đến giây phút cuối cùng?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,Được chứ. Bây giờ hãy giao cái này cho Gothante. Ông là chủ tịch của Hiệp hội Lịch sử ở Thành phố Saint. Đừng quên nhận thức được các assasins.
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.","Tôi không muốn ép buộc bạn, nhưng đừng bao giờ quên rằng bạn đang gặp nguy hiểm."
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,Đây .. Đây là .. Bubble bảo vệ chúng ta. Martinyc cuối cùng đã vượt quá ranh giới. Đã đến lúc rồi.
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,Cảm ơn rất nhiều. Nhận thư giới thiệu này và đến thăm Hachal trong Darkon 1.
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,Tôi chắc chắn anh ấy có thể giúp bạn. Bảo trọng!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,Bạn có muốn biết về lịch sử thực sự của Madrigal? Vậy thì tôi là người đàn ông đáng để nói chuyện.
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.","Giao cái này cho Gothante, anh ta là Chủ tịch Hiệp hội Lịch sử ở Thành phố Saint."
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,Chương 1 Cánh đồng bong bóng
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,Hmm? Gothante có bảo bạn đến thăm tôi không? Tại sao?
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?","Ồ, tôi hiểu rồi. Iblis trông chừng tôi, thông tin này là gì !? Ai có thể đã đào lên những điều này trong quá khứ? Chỉ một người?"
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,Tất nhiên là Martinyc. Cuối cùng cô ấy đã làm được những gì mà tất cả chúng ta đều biết cô ấy sẽ làm. Cô ấy không sợ cái chết như cô ấy nên làm. Những người trẻ ngày nay quá sợ hãi.
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,"Ồ, tất cả chúng ta đều biết rằng lịch sử thực sự của Madrigal cuối cùng sẽ được khám phá. Và tất cả chúng tôi đều biết rằng Martinyc sẽ là người phát hiện ra nó."
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,Nhân tiện ... Bạn có định tiếp tục với việc này không?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,Tốt. Chúng ta sẽ đến Cánh đồng bong bóng. Có nhiều bằng chứng hơn được tìm thấy ở đó. Nhanh lên.
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.","Gì? Không, bạn không thể dừng lại bây giờ. Bạn đã đi rất xa rồi."
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,Ahhh cuối cùng bạn cũng ở đây. Đưa cho tôi dữ liệu và thư giới thiệu.
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,Nơi này rất lạ...Hừm...Field of Bubble...Bạn nghĩ sao về nó?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!","Bạn biết Cánh đồng bong bóng, phải không? Tôi nghĩ chúng ta có thể tìm thấy một số bằng chứng ở đó. Đi nào! Nhanh lên!"
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,Chương 1: Field of Bubble: Mô hình kỳ lạ
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,"Trước khi bạn đến, tôi đã xem xét xung quanh và tìm thấy một điều gì đó rất lạ ở phương Bắc. Mặt đất đã bị đào lên và..."
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,.. nó nhìn như một kiểu hoa văn vậy. Tôi nhìn gần được nó vì nó được bao phủ.
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,Những người bạn kỳ lạ đang quanh quẩn ở đó. Tôi nghĩ rằng họ đang bảo vệ một cái gì đó. Không đời nào tôi có thể chống lại chúng.
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,Bạn sẽ kiểm tra? Tôi chắc chắn rằng họ không phù hợp với bạn.
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,Tuyệt quá! Tôi chắc chắn rằng có một cái gì đó cho mô hình đó. Kiểm tra nó chặt chẽ và mang cho tôi những gì bạn tìm thấy.
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,Bạn đã thực sự sẵn sàng để từ bỏ? Tôi không thể ép buộc bạn nhưng hãy nghĩ về tương lai.
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,Ồ! Đây là! Truyền thuyết là ..Martinyc đã đúng! .. Ồ .. Chúng ta phải làm gì bây giờ .. Thần Iblis phù hộ tôi!
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,Những người bạn đó có quá mạnh đối với bạn không? Mang theo nhiều người hơn và tiếp tục kiểm tra. Tôi không đủ sức để giúp bạn.
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,Tôi chắc chắn rằng chúng ta có thể tìm ra điều gì đó bằng cách kiểm tra mẫu. Xin vui lòng kiểm tra nó cẩn thận và mang cho tôi bất cứ điều gì bạn nhận được.
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,Chương 1: Field of Bubble: Đoàn pháp sư Violet
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,Hmm .. Tôi đã kiểm tra mảnh vải mà bạn mang cho tôi. Có vẻ như họa tiết trên mảnh vải giống với họa tiết tôi nhìn thấy trên mặt đất. 
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.","Tuy nhiên, có một sức mạnh bí ẩn trong mảnh vải này. Tôi sẽ kiểm tra nó. Nhân tiện, bạn đã bao giờ nghe nói về Magic Troupe in Purple chưa? Tôi biết về họ một cách tình cờ."
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.","Tôi không biết chi tiết, nhưng tôi biết rằng nhóm này có liên quan gì đó đến những bí mật của Madrigal."
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,Tôi nghĩ chúng ta cần thêm thông tin về Nhóm này. Làm thế nào về việc giúp tôi một lần nữa? Bạn sẽ làm điều đó cho tôi chứ?
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,Tuyệt quá! Vui lòng thu thập thông tin về Nhóm và các thành viên của Nhóm. Bạn sẽ phải chiến đấu với chúng để lấy bất kỳ thông tin nào từ chúng.
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,Bạn sợ chúng? Tôi khó có thể tin được điều đó. Ha ha ha.
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,Hmm .. Đó chính xác là những gì tôi nghĩ .. Bây giờ hãy quay về và nghỉ ngơi đi. Nhưng xin hãy đến thăm tôi sau đó nhé. Cảm ơn rất nhiều. 
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,Nó có quá nhiều cho bạn không? À ... nhưng chúng tôi cần thông tin về họ.
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,Chiến đấu với chúng để lấy thông tin từ chúng. Tôi sẽ gặp bạn ở Darken.
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,Chương 2 Hill of Shade
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,Chào! Thời điểm tuyệt vời! Tôi vừa phát hiện ra một điều rất thú vị.
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.","Bạn có biết cái này là cái gì không? Vâng, tôi chắc chắn bạn không nhưng tôi sẽ nói với bạn."
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,Đây là toàn bộ hình ảnh của mô hình mà chúng tôi tìm thấy. Tôi đã tìm thấy nó trong một trong những cuốn sách của mình nhưng đó là bức tranh duy nhất tôi có thể tìm thấy.
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,Tôi cần sự giúp đỡ của bạn một lần nữa. Bạn có thể giúp tôi một việc không?
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,Chụp ảnh này. Vui lòng giao nó cho Rovanett trong Thư viện Quốc gia ở Thành phố Saint. Bạn có thể tìm thấy cô ấy ở Saint Hall.
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,"Này, chúng ta đang ở trong này cùng nhau. Chúng ta cùng hội cùng thuyền. Bạn sẽ làm tốt hơn để giúp tôi. Bạn biết điều đó."
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,Hmm .. Đây có phải là những gì Hachal nói không? Làm tốt lắm. Cảm ơn rất nhiều. Để tôi kiểm tra. 
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,Lịch sử luôn thú vị hơn các sự kiện hiện tại nhưng điều này đặc biệt bí ẩn.
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,"Nơi đây. Chụp ảnh này. Vui lòng giao nó cho Rovanett, người đang làm việc trong Thư viện Quốc gia ở Thành phố Saint. Bạn có thể tìm thấy cô ấy ở Saint Hall."
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,Chương 2 Hill of Shade: Người dẫn đoàn vĩ đại.
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,Ồ câu chuyện của bạn về mô hình gợi cho tôi nhớ đến điều gì đó mà tôi đã đọc trong một trong những văn bản cổ.
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,Bạn có biết Hill of Shade? Tôi đã tìm thấy nó trong một trong những cuốn sách của mình nhưng chỉ dám mạo hiểm đến đó một lần.
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,Có một hoa văn tương tự như cái mà bạn đã thấy trong Field of Bubble. Hoặc có thể nó giống hệt nhau. Nếu hai họa tiết đó giống nhau ..
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,..bạn cũng có thể tìm thấy một mảnh vải ở đó. Bạn làm ơn đi kiểm tra thử được chứ?
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Cảm ơn bạn. Vui lòng kiểm tra xung quanh để tìm mô hình trong Hill of Shade. Ồ! Xin hãy cẩn thận vì có một cái gì đó rất khốc liệt ở đó!
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,"Tôi hiểu nhưng nếu bạn có cơ hội, bạn có vui lòng kiểm tra không?"
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.","Iblis ở trên kia, bạn trông tệ thật. Tôi đánh giá cao công việc khó khăn của bạn. Bạn đã làm việc xuất sắc. Cho tôi so sánh hai mảnh vải."
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,Có lẽ con quái vật tôi đã đề cập trước đó là quá nhiều cho bạn để xử lý? Bạn có thể thử lại nếu muốn hoặc không tùy thuộc vào bạn.
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Vui lòng kiểm tra xung quanh để tìm mô hình trong Hill of Shade. Ồ! Xin hãy cẩn thận vì có một cái gì đó rất khốc liệt ở đó!
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,Chương 2 Hill of Shade: Lịch sử gian khổ
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,Tôi đã kiểm tra xong dữ liệu mà Hachal cung cấp. Vui lòng giao cái này cho Hachal.
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,Tôi hy vọng bạn sẽ tiếp tục may mắn như bạn đã từng có nó.
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,Nếu không phải bạn thì ai? Không ai có thể nhận công việc này!
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,Hmm .. History of Hardship. Vậy anh ấy có đưa cái này cho bạn không? Tuyệt lắm. Nếu anh ấy cho rằng nó có ích thì tôi chắc chắn là nó sẽ như thế.
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,Hẹn gặp lại. Bảo trọng.
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,Rovanett có nói gì không? Điều đó không có ý nghĩa. Hãy đến thăm cô ấy một lần nữa. Cô ấy phải có điều gì đó muốn nói với bạn.
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,Tôi đã kiểm tra xong dữ liệu mà Hachal yêu cầu. Vui lòng giao cái này cho Hachal.
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,Chương 3 Pháp sư màu tím
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,Này. Hình như điện thờ và Magic Troupe có gì đó liên quan tới... 
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,...the Purple Magician trong cuốn sách này. History of Hardship. Chỉ có điều sách cho rằng the Black Magician và the Magician in Purple là cùng một người. Cũng chính là người đã chiến đấu cùng phe với các anh hùng trong các Hero Wars. Điều đó thật vô lý.
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.","Đó là một điều gì đó thực sự khó tin, nhưng cũng là điều chúng ta nên tin."
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,Tôi nghĩ đây là điều tốt nhất tôi có thể làm lúc này nhưng tôi sẽ không bao giờ ngừng tìm kiếm sự thật.
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,Bạn! Tôi muốn bạn cho ai đó thấy điều này. Bạn có thể làm điều đó ngay bây giờ?
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,Đúng! Vui lòng giao cái này cho Gothante ở Saint City. Ông là người đứng đầu của Hiệp hội Lịch sử.
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,Tôi hiểu rằng bạn có những việc khác phải làm. Nhưng điều này rất quan trọng. Quay lại nhanh nhé.
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,Chào! Lâu rồi không gặp! Bạn đã gặp Hachal? Cái này là cái gì?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,Ồ .. Bubble bảo vệ chúng ta! Điều này có thật không? Ôi...Ôi...Chuyện này quá lớn để giải quyết một mình.
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?","Tôi thực sự vui mừng khi gặp lại bạn, nhưng Hachal có bảo bạn gặp tôi không? Để làm gì?"
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,Vui lòng giao cái này cho Gothante ở Saint City.
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,Chương 3 Nhà ảo thuật màu tím: Bí mật của Altar
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,Hmm .. Tôi có một số giả thuyết hay nhưng chúng ta sẽ cần thêm thông tin về điện thờ và Magic Troupe.
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,Tôi nghĩ rằng có một cái gì đó trong altar. Tôi có cảm giác mạnh mẽ rằng chúng ta có thể tìm thấy thứ gì đó ở đó nếu chúng ta quan sát đủ kỹ.
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,Nghe. Cái này rất quan trọng. Chỉ cần gắn bó với điều này cho đến khi kết thúc. Bạn có muốn không?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,Vui lòng kiểm tra altar cho đến khi bạn có thể tìm thấy một số bằng chứng.
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.","Điều gì có thể quan trọng hơn điều này? Tốt thôi, đi thôi."
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,Hmm .. Mọi thứ đều được viết bằng cổ ngữ. Nhưng chúng tôi có thể dịch nó. Cảm ơn nhé.
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,Vui lòng quay lại với tôi sau khi dịch xong. Để tôi mang cuốn sách này đến cho người dịch.
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.","Bạn có thể kiểm tra tất cả 3 nơi, mang theo bất kỳ bằng chứng nào bạn tìm thấy ở bất kỳ bàn thờ nào."
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,Hãy kiểm tra bàn thờ cho đến khi bạn phát hiện ra điều gì đó quan trọng.
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,Chương 3 Purple Magician: Hạt bí ẩn.
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,Tôi đã dịch xong cuốn sách. Pháp sư Tím và Pháp sư Đen là cùng một người! Đúng như Hachal đã nói!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,Có vẻ như bàn thờ màu tím được tạo ra bởi Magician màu Tím cho một loại nghi lễ tôn giáo nào đó.
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,Có vẻ như họ đang cố gắng vượt qua một sự tồn tại tốt hơn nhưng làm thế nào?
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!","Như mọi khi, tôi có một vài lý thuyết hay nhưng tôi cần thêm dữ liệu. Luôn luôn nhiều dữ liệu hơn! Tôi muốn câu trả lời ngay bây giờ!"
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?","Bạn có thể giúp tôi một lần nữa? Tôi có thể thấy sự tò mò trong mắt bạn, cũng như của tôi. Tôi nói đúng chứ?"
PROPQUEST_SCENARIO_INC_000433,Very well! Then please check the Field of Bubble and the Hill of Shade more carefully. I am really sure there is something over there!,"Rất tốt! Sau đó, hãy kiểm tra Cánh đồng bong bóng và Đồi bóng râm cẩn thận hơn. Tôi thực sự chắc chắn rằng có một cái gì đó ở đó!"
PROPQUEST_SCENARIO_INC_000434,"Fine, return to me when you get the time.","Tốt thôi, hãy trả lại cho tôi khi bạn có thời gian."
PROPQUEST_SCENARIO_INC_000435,Oh... What a strong magical power this bead has... Oh... What a surprise!,Ôi .. Hạt này có ma lực mạnh làm sao.. Ôi .. Thật là bất ngờ!
PROPQUEST_SCENARIO_INC_000436,"Good job...But something like this is completely out of my range. Let me think for a moment. Yes, I have it!","Làm tốt lắm..Nhưng những thứ như thế này hoàn toàn vượt quá khả năng của tôi. Để tôi suy nghĩ chút. Ừ, tôi có nó đấy!"
PROPQUEST_SCENARIO_INC_000437,Please deliver this to the Great Magician Laola in Darkon 3.,Hãy giao cái này cho Great Magician Laola trong Darkon 3.
PROPQUEST_SCENARIO_INC_000438,I have a bad feeling about this. I have never been wrong about anything. I hope I am this time.,Tôi có một cảm giác xấu về việc này. Tôi chưa bao giờ sai về bất cứ điều gì. Tôi hy vọng tôi là thời gian này.
PROPQUEST_SCENARIO_INC_000439,"Please, once more, check the Field of Bubble and the Hill of Shade. I am sure that there is more to be found!",Vui lòng kiểm tra Cánh đồng bong bóng và Đồi bóng râm một lần nữa. Tôi chắc chắn rằng có nhiều thứ được tìm thấy!
PROPQUEST_SCENARIO_INC_000441,Chapter 3 Purple Magician: The Great Magician Laola,Chương 3 Purple Magician: Nhà ảo thuật vĩ đại Laola
PROPQUEST_SCENARIO_INC_000442,"Oh, you are here finally. I cannot say that your arrival is entirely a surprise. I am Laola the Great Magician *cough* *cough*.","Ồ, cuối cùng thì bạn cũng ở đây. Tôi không thể nói rằng sự xuất hiện của bạn hoàn toàn là một bất ngờ. Tôi là Laola Đại pháp sư * khụ * * khụ *."
PROPQUEST_SCENARIO_INC_000443,"I can see in your face that you do not believe me. I guess, looking at myself, I do not look like such a Great Magician.","Tôi có thể thấy trên khuôn mặt của bạn rằng bạn không tin tôi. Tôi đoán, nhìn vào bản thân mình, tôi không giống một Pháp sư vĩ đại như bạn nghĩ nhỉ."
