Key,English,Portuguese
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","Eu sabia que você aceitaria! Primeiro, traga 5 pedras de cada um dos 3 continentes habitados. Cada um tem um Altar. Traga as pedras de cada altar."
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,Obrigada por me ouvir. Entendo que você não queira arriscar sua vida.
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,"Hmm... É exatamente o que eu esperava. Estudarei um pouco mais. Mas antes de ir, saiba que..."
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.",...você deve tomar muito cuidado. Tenho quase certeza de que os assassinos que tentaram me matar irão atrás de você.
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","Traga 5 pedras de cada continente - Flaris, Darkon e Saint Morning. Boa sorte!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,Há altares antigos em cada continente. Traga 5 pedras de cada continente.
PROPQUEST_SCENARIO_INC_000327,Plot Begins,A Trama Começa
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...","Há evidências de que os continentes eram uma única massa de terra. Estou lhe dando essa informação porque... bem,  "
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,agora estamos no mesmo barco. Estamos em perigo. Você iria comigo até o final?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,OK. Entregue isso a Gothante. Ele é o presidente da Sociedade Histórica em Saint. Tome cuidado com os assassinos.
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.","Não quero forçá-lo, mas nunca se esqueça de que está em perigo."
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,Isto... Isto é... Que Bubble nos proteja. Martinyc finalmente cruzou a linha. É hora.
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,Muito obrigado. Pegue esta carta de recomendação e visite Hachal em Darkon 1.
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,Tenho certeza de que ele pode lhe ajudar. Cuide-se!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,Quer saber sobre a verdadeira História de Madrigal? Sou a pessoa certa para falar.
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.",Entregue isso a Gothante. Ele é o presidente da Sociedade Histórica da Cidade de Saint.
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,Capítulo 1 A Planície de Bubble
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,Hmm? Gothante disse para você me visitar? Por que?
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?","Ah, entendo. Que Iblis me proteja! O que significa essa informação!? Quem poderia ter descoberto tanto sobre o passado? Apenas uma pessoa... "
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,"Martinyc, claro. Ela finalmente fez o que todos sabíamos que faria. Ela não tem medo da morte como deveria. Os jovens de hoje são muito destemidos."
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,"Ah, bem, todos sabíamos que a verdadeira História de Madrigal seria descoberta um dia. E todos sabíamos que Martinyc a descobriria."
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,Aliás... Você vai continuar com isso?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,Bom. Iremos à Planície de Bubble. Há mais evidências a encontrar lá. Apresse-se.
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.","O que? Não, você não pode parar agora. Você foi muito longe."
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,"Ahhh, você finalmente chegou. Entregue os dados e a carta de recomendação."
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,Este lugar é muito estranho... Hmm... Planície de Bubble... O que você acha disso?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!","Você conhece a Planície de Bubble, certo? Acho que podemos encontrar evidências lá. Vamos! Depressa!"
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,Capítulo 1: Planície de Bubble: O Formato Estranho
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,"Antes de você aparecer, dei uma olhada e encontrei algo estranho ao norte. A terra estava escavada e..."
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,...enfim. Eu não consegui ver bem porque estava tudo cercado.
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,Pessoas estranhas andavam por ali. Acho que estavam defendendo algo. Não havia como espantá-los.
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,Você olharia? Sei que não são páreo para você.
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,Ótimo! Tenho certeza de que há algo neste formato. Olhe atentamente e me traga o que descobrir.
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,"Está mesmo pronto para desistir? Não posso lhe forçar, mas pense no futuro."
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,Oh! Isto! A lenda é...!  Martinyc estava certa!... Oh... O que devemos fazer agora? Que Iblis me proteja 
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,Eles eram fortes demais para você? Leve mais pessoas e continue checando. Não sou suficientemente forte para lhe ajudar com eles.
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,Tenho certeza de que podemos descobrir algo vendo o formato. Olhe cuidadosamente e me traga o que conseguir.
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,Capítulo 1: Planície de Bubble: A Tropa Mago Violeta
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,Hmm... Vi o pedaço de pano que você trouxe. Parece que a estampa no tecido tem o mesmo formato que vi no terreno.
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.","No entanto, há um poder misterioso neste tecido... Vou pesquisar mais. A propósito, você já ouviu falar da Tropa Mago Violeta? Descobri sobre eles por acaso."
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.","Não conheço os detalhes, mas sei que este grupo tem algo a ver com os segredos de Madrigal."
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,Acho que precisamos de mais informações sobre esse Grupo. Que tal me ajudar mais uma vez? Você faria isso por mim?
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,Ótimo! Reúna informações sobre o Grupo e seus membros. Você terá que lutar com eles para conseguir qualquer informação.
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,Tem medo deles? É difícil de acreditar. Ha ha ha.
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,Hmm... É exatamente o que eu imaginava... Agora volte e descanse. Venha me visitar mais tarde. Muito obrigado.
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,Foi demais para você? Ah...mas precisamos de informações sobre eles 
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,"Lute para conseguir informações deles e depois me encontre em Darkon, estarei te aguardando lá."
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,Capítulo 2 Colina de Shade
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,Ei! Ótima pontualidade! Acabei de descobrir algo muito interessante.
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.","Sabe o que é isto? Bem, tenho certeza de que não, mas lhe direi."
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,"É uma imagem completa do formato que encontramos. Achei em um de meus livros, mas foi a única que consegui encontrar."
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,Preciso de sua ajuda mais uma vez. Você me faria um favor?
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,Pegue esta imagem. Entregue-a para Rovanett na Biblioteca Nacional em Saint. Você pode encontrá-la no Palácio de Saint.
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,"Ei, estamos juntos nessa. Estamos todos no mesmo barco. Seria melhor me ajudar, você sabe disso."
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,Hmm... É isso o que Hachal disse? Parabéns. Muito obrigado. Vou verificar.
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,"A História sempre é mais interessante do que eventos atuais, mas isso é especialmente misterioso."
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,"Aqui. Pegue esta imagem. Entregue-a para Rovanett, que trabalha na Biblioteca Nacional na Cidade de Saint. Você pode encontrá-la no Palácio de Saint."
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,Capítulo 2 Colina de Shade: O Grande Líder
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,"Ah, sua história sobre o formato me lembra de algo que li em um dos textos antigos."
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,"Você conhece a Colina de Shade? Eu a descobri em um de meus livros, mas não me atrevi a ir lá."
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,"Há um formato semelhante ao que você viu na Planície de Bubble. Ou talvez seja exatamente o mesmo, se os dois formatos forem iguais.."
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,...talvez você também encontre um pedaço de tecido ali. Você verificaria isso?
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,"Obrigada. Procure o formato na Colina de Shade. Ah! Tome cuidado, porque há algo muito feroz ali!"
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,"Entendo, mas se tiver chance, você verificaria isso?"
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.","Por Iblis, você está horrível. Agradeço seu trabalho árduo. Você foi excepcional. Vou comparar os dois pedaços de pano."
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,"Talvez o monstro que mencionei antes tenha sido demais para você. Você pode tentar novamente ou não, cabe a você."
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,"Procure o formato na Colina de Shade. Ah! Tome cuidado, porque há algo muito feroz ali!"
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,Capítulo 2 Colina de Shade História de Dificuldades
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,Terminei de verificar os dados que Hachal pediu. Leve isto para ele.
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,Espero que você continue tendo a mesma sorte.
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,"Se não for você, então quem? Ninguém pode pegar este serviço!"
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,"Hmm... História de Dificuldades. Então ele lhe deu isso? Excelente. Se ele diz que isso será útil, tenho certeza que sim."
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,Até mais tarde. Cuide-se.
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,Rovanett não disse nada? Isso não faz sentido... Visite-a novamente. Ela deve ter algo a lhe dizer.
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,Terminei de verificar os dados que Hachal pediu. Leve isto para ele.
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,Capítulo 3 O Mago Púrpuro
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,Ei. Parece que o altar e a Tropa Mágica têm algo a ver com...
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,..o Mago Púrpuro neste livro. História de Dificuldades. Só que...ele diz que o Mago Negro e o Mago Púrpuro são a mesma pessoa. A mesma pessoa que lutou junto aos heróis nas Guerras dos Heróis. Isso não faz sentido.
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.","É realmente incrível, mas algo que em devemos acreditar."
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,"Acho que é o melhor que consigo fazer agora, mas nunca deixarei de procurar a verdade."
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,Você! Quero que mostre isso a alguém. Você pode fazer isso agora?
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,Sim! Entregue isto a Gothante na Cidade de Saint. Ele é chefe da Sociedade Histórica.
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,"Entendo que você tenha outras coisas a fazer, mas isto é muito importante. Volte logo."
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,Ei! Há quanto tempo! Você encontrou Hachal? O que é isto?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,Oh... Que Bubble nos proteja! É verdade? Oh... Oh... Isso é demais para uma pessoa só. 
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?","Estou mesmo feliz em lhe ver novamente, mas Hachal lhe disse para me encontrar? Para quê?"
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,Entregue isto a Gothante na Cidade de Saint.
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,Capítulo 3 O Mago Púrpuro: O Segredo do Altar
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,"Hmm... Tenho algumas teorias boas, mas precisaremos de mais informações sobre o altar e a Tropa Mágica."
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,Acho que há algo no altar... Tenho a impressão de que podemos encontrar algo ali se procurarmos bem.
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,Ouça. Isto é muito importante. Fique conosco até o final. Tudo bem?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,Verifique o altar até encontrar alguma evidência.
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.","O que pode ser mais importante do que isto? Está bem, vá."
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,Hmm... Está tudo escrito em uma língua antiga. Mas podemos traduzir. Obrigado.
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,Dê um retorno depois que acabar a tradução. Vou levar este livro ao tradutor.
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.",Você pode observar os 3 altares. Traga qualquer evidência que encontrar neles
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,Verifique o altar até encontrar alguma coisa importante
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,Capítulo 3 O Mago Púrpuro: Uma Pérola Misteriosa.
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,Acabei de traduzir o livro. O Mago Púrpuro e o Mago Negro são a mesma pessoa! Como Hachal disse!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,Parece que o altar violeta foi feito pelo Mago Púrpuro para algum tipo de serviço religioso.
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,"Parece que estavam tentando transcender para uma existência melhor, mas como?"
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!","Como sempre, tenho algumas teorias boas, mas preciso de mais dados. Sempre mais dados! Quero respostas agora!"
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?",Você me ajudaria novamente? Vejo que está tão curioso quanto eu. Estou certo?
PROPQUEST_SCENARIO_INC_000433,Very well! Then please check the Field of Bubble and the Hill of Shade more carefully. I am really sure there is something over there!,Muito bem! Busque na Planície de Bubble e na Colina de Shade mais cuidadosamente. Tenho certeza de que há algo por lá!
PROPQUEST_SCENARIO_INC_000434,"Fine, return to me when you get the time.","Está bem, dê um retorno quando tiver tempo."
PROPQUEST_SCENARIO_INC_000435,Oh... What a strong magical power this bead has... Oh... What a surprise!,Oh... Que poder forte e mágico esta pérola tem... Oh... Que surpresa!
PROPQUEST_SCENARIO_INC_000436,"Good job...But something like this is completely out of my range. Let me think for a moment. Yes, I have it!",Bom trabalho...Mas algo como isso está totalmente fora do meu alcance. Vou pensar por um momento. Sim. Tenho isso.
PROPQUEST_SCENARIO_INC_000437,Please deliver this to the Great Magician Laola in Darkon 3.,Entregue isto à Grande Maga Laola em Darkon 3.
PROPQUEST_SCENARIO_INC_000438,I have a bad feeling about this. I have never been wrong about anything. I hope I am this time.,Tenho uma sensação ruim sobre isso. Nunca estive errado sobre nada. Espero estar desta vez.
PROPQUEST_SCENARIO_INC_000439,"Please, once more, check the Field of Bubble and the Hill of Shade. I am sure that there is more to be found!","Mais uma vez, busque na Planície de Bubble e na Colina de Shade mais cuidadosamente. Tenho certeza de que há mais a ser encontrado!"
PROPQUEST_SCENARIO_INC_000441,Chapter 3 Purple Magician: The Great Magician Laola,Capítulo 3 O Mago Púrpuro: A Grande Maga Laola
PROPQUEST_SCENARIO_INC_000442,"Oh, you are here finally. I cannot say that your arrival is entirely a surprise. I am Laola the Great Magician *cough* *cough*.","Ah, você finalmente chegou. Não posso dizer que sua chegada é uma surpresa. Eu sou Laola, a Grande Maga *cof* *cof*."
PROPQUEST_SCENARIO_INC_000443,"I can see in your face that you do not believe me. I guess, looking at myself, I do not look like such a Great Magician.","Posso ver que você não acredita em mim. Acho que olhando para mim, realmente não pareço uma Grande Maga."
PROPQUEST_SCENARIO_INC_000444,Magic always has a high cost and I used some terrible magic back then.,"Magias sempre tem um custo alto, eu já usei umas magias terríveis no passado."
PROPQUEST_SCENARIO_INC_000445,"But never mind that, show me the bead you brought, I can feel its power from here.","Mas isso não importa. Mostre a pérola que você trouxe, posso sentir seu poder daqui."
PROPQUEST_SCENARIO_INC_000446,"Yes, this is it. I have to check this first, so please come back to me in a minute.","Sim, é isso. Tenho que checar primeiro, então volte daqui a uns minutinhos."
PROPQUEST_SCENARIO_INC_000447,"*cough* *cough* Hey, do not be too greedy. Something that powerful could corrupt you to your core. *cough* *cough*","*cof* Ei, não seja muito ganancioso. Algo tão poderoso pode corromper até sua essência. *cof*"
PROPQUEST_SCENARIO_INC_000448,"Hmmm I did not know he could make something like this, but I cannot say that I am surprised.",Hmmm não sabia que ele podia fazer algo assim... mas não posso dizer que estou surpresa.
PROPQUEST_SCENARIO_INC_000449,"It is no secret why I am called the Great Magician. Though, I have learned that being a great magician, does not make you a great person. *cough*",O motivo pelo qual sou chamada de A Grande Maga não é segredo. Só que aprendi que ser uma Grande Maga não lhe torna uma grande pessoa. *cof*
PROPQUEST_SCENARIO_INC_000450,"This is it. I have to check this first, so please come back to me in a minute.","É isso. Tenho que checar primeiro, então volte daqui a um minuto."
PROPQUEST_SCENARIO_INC_000452,Chapter 3 Purple Magician: Identity of the Purple Magician,Capítulo 3 O Mago Púrpuro: A identidade do Mago Púrpuro
PROPQUEST_SCENARIO_INC_000453,"*cough* *cough* This bead, with all of its power, was crafted by the only pupil I ever had, Lapranche. *cough*","*cof* Esta pérola, com todo o seu poder, foi elaborada por meu único pupilo, Lapranche. *cof*"
PROPQUEST_SCENARIO_INC_000454,She is the Black Magician. I was also the Black Magician at one point. We have often been confused for each other throughout history. *Sigh* It seems that Lapranche found out about them.,Ela é o Mago Negro. Eu também já fui um Mago Negro certa vez. Frequentemente nos confundiam ao longo da História. *uff* Parece que Lapranche descobriu sobre eles 
PROPQUEST_SCENARIO_INC_000455,"You believe in them now right? If you are looking to me for answers about what they were, you are wasting your time. All I know is that they created all of Madrigal and that they were once agents of Rhisis.","Agora você acredita neles, né? Se quer que eu dê respostas sobre quem eles eram, está perdendo seu tempo. Tudo o que sei é que eles criaram toda Madrigal e que já foram agentes de Rhisis."
PROPQUEST_SCENARIO_INC_000456,"Yes Lapranche found out about them and attempted to bring them back to this world with the Purple Magic, the same magic that drained me of so much.","Sim, Lapranche descobriu sobre eles e tentou levá-los de volta para este mundo com a Magia Púrpura, a mesma que me tirou tantas coisas."
PROPQUEST_SCENARIO_INC_000457,Do me a favor would you?,Você me faria um favor?
PROPQUEST_SCENARIO_INC_000459,You are afraid. I am not surprised. The world hangs in the balance. Who would not be scared? Go on. Get out of here.,Você está com medo. Não estou surpreso. O mundo está pendendo na balança. Quem não ficaria com medo? Vá em frente. Saia daqui.
PROPQUEST_SCENARIO_INC_000460,What a terrible... Where did they come from? Did you see them? Renegade Blades seemingly hired to kill me. It would appear that I know too much. What is that you have there?,Que terrível... de onde eles vieram? Você os viu? Blades  Renegados supostamente contratados para me matar. Parece que sei demais. O que você tem aí?
PROPQUEST_SCENARIO_INC_000461,"Oh, this! Is this the book that Laola wrote? Amazing","Ah, isto! Este é o livro que Laola escreveu? Impressionante"
PROPQUEST_SCENARIO_INC_000462,"Fine. Now we can begin the real reconstruction of the history of our world. Thank you. Oh, I may need you later on. See you then.","Está bem. Agora podemos começar a reconstrução real da História de nosso mundo. Obrigado. Ah, posso precisar de você mais tarde. Vejo você depois."
PROPQUEST_SCENARIO_INC_000463,You could not find Loala? It is not like he is hiding or anything. Please try again.,Não conseguiu encontrar Loala? Ela não está se escondendo. Tente de novo.
PROPQUEST_SCENARIO_INC_000464,Please deliver this book to Gothante. This may not be enough to save the world but it should be useful. Thank you and good luck.,"Entregue este livro a Gothante. Pode não ser suficiente para salvar o mundo, mas pode ser útil. Obrigada e boa sorte."
PROPQUEST_SCENARIO_INC_000466,Chapter 4 Their Shadow,Capítulo 4: A Sombra Deles
PROPQUEST_SCENARIO_INC_000467,"Oh, nice to see you again. I have found something based on the data you gave me. You know more than most about the Clowns at this point.","Ah, é bom vê-lo novamente. Encontrei algo com base nos dados que você me deu. Você já sabe mais do que a maioria sobre os Palhaços."
PROPQUEST_SCENARIO_INC_000468,"People have been talking about them for some time now. They are known as three devils that created our continents on accident and are bent on destroying them. During the Hero War, they were said to stand against the heroes of our land.","As pessoas vêm falando sobre eles há algum tempo. Eles são conhecidos como os três demônios que criaram nossos continentes acidentalmente e querem destruí-los. Durante a Guerra dos Heróis, diz-se que eles ficaram contra os heróis de nossa terra."
