Key,English,Spanish
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,Martinyc por supuesto. Finalmente ha hecho lo que todos sabíamos que haría. No le teme a la muerte como debería. Los jóvenes son demasiado intrépidos últimamente.
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,"Bueno, todos sabíamos que la verdadera historia de Madrigal se descubriría tarde o temprano. Y todos sabíamos que Martinyc sería quien lo destaparía."
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,Por cierto... ¿Vas a seguir con esto?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,Bien. Iremos a la Llanura de Bubble. Hay más pruebas que se pueden encontrar en esa zona. Date prisa.
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.",¿Qué? No puedes parar ahora. Has llegado muy lejos.
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,Ahhh por fin estás aquí. Dame los datos y la carta de recomendación.
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,Este lugar es muy extraño... Hmm... La Llanura de Bubble... ¿Qué piensas de este lugar?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!","¿Conoces la Llanura de Bubble, verdad? Creo que podemos encontrar algunas pruebas por allí. ¡Vamos! ¡Date prisa!"
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,(Capítulo 1) La Llanura de Bubble: Un Extraño Patrón
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,"Antes de que aparecieras, eché un vistazo por alrededor y encontré algo extraño en el norte. El suelo está excavado y..."
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,..parecía una especie de patrón. No pude verlo de cerca porque el lugar estaba rodeado.
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,Había unos tipos extraños rondando por allí. Creo que estaban defendiendo algo. No había forma en que yo pudiera luchar contra ellos.
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,¿Lo comprobarías? Estoy seguro de que no son rival para ti.
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,¡Genial! Estoy seguro de que hay algo en ese patrón. Revísalo bien y tráeme lo que encuentres.
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,¿De verdad te vas a rendir? No puedo obligarte pero piensa en el futuro.
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,"¡Oh! ¡Esto es! La leyenda es...¡Martinyc tenía razón! Oh... ¿Qué haremos ahora? ¡Por favor Iblis, vela por mí!"
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,¿Eran esos tipos demasiado fuertes para ti? Trae a más personas contigo y continúa verificando. Yo no soy lo suficientemente fuerte para ayudarte con ellos.
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,Estoy seguro de que podemos averiguar algo comprobando el patrón. Por favor revísalo cuidadosamente y tráeme lo que encuentres.
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,(Capítulo 1) La Llanura de Bubble: El grupo de los Magos Violetas
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,Hmm... He revisado el trozo de tela que me trajiste. Parece que el patrón del trozo de tela es el mismo que vi en el suelo.
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.","Sin embargo, hay un poder misterioso en este trozo de tela. Lo comprobaré un poco más. Por cierto, ¿alguna vez has oído hablar de los Magos Violetas? Escuché de ellos por casualidad."
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.","No conozco los detalles, pero seguro que este grupo tiene algo que ver con los secretos de Madrigal."
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,Creo que necesitamos más información sobre ellos. ¿Qué tal si me ayudas una vez más? ¿Lo harías por mí?
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,¡Genial! Reúne información sobre los Magos Violetas y sus miembros. Tendrás que luchar contra ellos para sacarles algo de información.
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,¿Les tienes miedo? Eso no me lo creo. Jajaja.
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,Hmm... Eso es exactamente lo que pensaba... Ahora vete y descansa. Ven a verme más tarde. Muchas gracias.
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,¿Ha sido demasiado para ti? Hmm... pero necesitamos esa información sobre ellos.
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,Lucha contra ellos para obtener la información. Nos vemos en Darken.
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,(Capítulo 2) La Colina de Shade
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,¡Oye! ¡Llegas en un gran momento! Me acabo de enterar de algo muy interesante.
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.","¿Sabes lo que es esto? Bueno, supongo que no, pero te lo explico yo."
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,"Esta es una imagen completa del patrón que encontramos. Lo encontré en uno de mis libros, pero fue la única imagen que pude encontrar."
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,Necesito tu ayuda una vez más. ¿Me harías un favor?
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,Toma esta foto. Entrégasela a Rovanett en la Biblioteca Nacional de Saint. La puedes encontrar en el Ayuntamiento de Saint.
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,"Oye, estamos juntos en esto. Todos estamos en el mismo barco. Harías mejor en ayudarme. Lo sabes."
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,Hmm... ¿Eso ha dicho Hachal? Buen trabajo. Muchas gracias. Déjame comprobarlo.
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,"La historia siempre es más interesante que los acontecimientos actuales, pero esto es especialmente misterioso."
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,"Toma esta foto. Entrégasela a Rovanett, que trabaja en la Biblioteca Nacional de Saint. La puedes encontrar en el Ayuntamiento de Saint."
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,(Capítulo 2) La Colina de Shade: El Patrón de los Magos Violetas.
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,"Oh, tu historia sobre el patrón me recuerda a algo que leí en uno de los textos antiguos."
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,"¿Conoces la Colina de Shade? La encontré en uno de mis libros, pero solo me he atrevido a aventurarme allí una vez."
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,Hay un patrón similar al que viste en la Llanura de Bubble. O incluso puede que sea exactamente el mismo. Si esos dos patrones son iguales...
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,...es posible que también puedas encontrar un trozo de tela allí. ¿Podrías ir a comprobarlo?
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Gracias. Por favor busca el patrón por los alrededores de la Colina de Shade. ¡Oh! ¡Ten cuidado porque hay algo muy feroz allí!
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,"Lo entiendo, pero si alguna vez tienes la oportunidad, ¿podrás comprobarlo?"
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.","Por Iblis, que mala cara tienes. Aprecio tu duro trabajo. Has hecho un trabajo excepcional. Déjame comparar los dos trozos de tela."
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,"¿Quizás el monstruo que mencioné antes era demasiado para ti? Puedes volver a intentarlo si lo deseas, depende de ti."
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Busca el patrón por los alrededores de la Colina de Shade. ¡Oh! ¡Ten cuidado porque hay algo muy feroz allí!
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,(Capítulo 2) La Colina de Shade: Historia de Dificultades
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,"He terminado de verificar los datos que proporcionó Hachal. Por favor, entrégale esto a Hachal."
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,Espero que sigas teniendo la suerte que has tenido.
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,"Si no lo haces tú, ¿entonces quién? ¡Nadie puede hacer este trabajo!"
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,"Hmm.. Historia de Dificultades. ¿Te lo ha dado ella? Excelente. Si ella dice que esto será útil, seguro que lo será."
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,Nos vemos. Ten cuidado.
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,"¿Rovanett dijo algo? Eso no tiene sentido. Por favor, visítela de nuevo. Ella debe tener algo que decirte."
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,"He terminado de verificar los datos que solicitó Hachal. Por favor, entrégale esto a Hachal."
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,(Capítulo 3) El Mago Violeta
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,Oye. Parece que el altar y los Magos Violetas tienen algo que ver con...
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,...el Mago Violeta que sale en este libro. Historia de Dificultades. Solo dice que el Mago Negro y el Mago Violeta son la misma persona. La misma persona que luchó junto a los héroes en la Guerra de los Héroes. Esto no tiene sentido.
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.","Es algo realmente increíble, pero también es algo que debemos creer."
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,"Creo que esto es lo mejor que puedo descubrir por ahora, pero nunca dejaré de buscar la verdad."
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,¡Tú! Quiero que le muestres esto a alguien. ¿Puedes hacerlo ahora mismo?
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,"¡Sí! Por favor, entrégale esto a Gothante en Saint. Es el jefe de la Sociedad de Historia."
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,Entiendo que tengas otras cosas que hacer. Pero esto es muy importante. Vuelve pronto.
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,¡Oye! ¡Cuanto tiempo sin verte! ¿Te encontraste con Hachal? ¿Qué es esto?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,Oh... ¡Bubble protégenos! ¿Esto es cierto? Oh... Oh... Esto es demasiado grande para uno solo...
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?","Me alegra verte de nuevo, pero ¿te ha dicho Hachal que vengas a verme? ¿Para qué?"
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,"Por favor, entrégale esto a Gothante en Saint."
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,(Capítulo 3) El Mago Violeta: El Secreto del Altar
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,"Hmm... Tengo algunas buenas teorías, pero vamos a necesitar más información sobre el altar y los Magos Violetas."
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,Creo que hay algo en el altar. Tengo la fuerte sensación de que podríamos encontrar algo allí si nos acercamos lo suficiente.
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,Escucha. Esto es muy importante. Quédate hasta el final. ¿Vale?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,Por favor revisa el altar hasta que puedas encontrar alguna prueba.
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.","¿Qué podría ser más importante que esto? En fin, vete entonces."
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,Hmm... Todo está escrito en un idioma antiguo. Pero podemos traducirlo. Gracias.
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,Vuelve cuando haya terminado la traducción. Déjame llevar este libro al traductor.
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.","Puedes ir a comprobar los 3 altares, traer cualquier prueba que encuentres en cualquiera de ellos."
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,Por favor revisa el altar hasta que encuentres algo de importancia.
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,(Capítulo 3) El Mago Violeta: Una Perla Misteriosa
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,He terminado de traducir el libro. ¡El Mago Violeta y el Mago Negro son la misma persona! ¡Justo como dijo Hachal!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,Parece que el altar violeta fue hecho por el Mago Violeta para algún tipo de servicio religioso.
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,"Parece que estaban intentando trascender a una existencia mejor, pero ¿cómo?"
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!","Como siempre, tengo algunas buenas teorías, pero necesito más datos. ¡Siempre más datos! ¡Quiero respuestas ahora!"
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?","¿Me ayudarás otra vez? Puedo ver la curiosidad en tus ojos, igual que en los míos. ¿Tengo razón?"
PROPQUEST_SCENARIO_INC_000433,Very well! Then please check the Field of Bubble and the Hill of Shade more carefully. I am really sure there is something over there!,¡Muy bien! Explora la Llanura de Bubble y la Colina de Shade con más detalle. ¡Estoy segura de que hay algo allí!
PROPQUEST_SCENARIO_INC_000434,"Fine, return to me when you get the time.","Vale, vuelve cuando tengas tiempo."
PROPQUEST_SCENARIO_INC_000435,Oh... What a strong magical power this bead has... Oh... What a surprise!,Oh... ¡Qué poder mágico tan fuerte tiene esta perla... Oh... ¡Qué sorpresa!
PROPQUEST_SCENARIO_INC_000436,"Good job...But something like this is completely out of my range. Let me think for a moment. Yes, I have it!","Buen trabajo... Pero esto está completamente fuera de mi alcance. Déjame pensar por un momento. ¡Si, lo tengo!"
PROPQUEST_SCENARIO_INC_000437,Please deliver this to the Great Magician Laola in Darkon 3.,Por favor entrégale esto a la Gran Maga Laola en Darkon 3.
PROPQUEST_SCENARIO_INC_000438,I have a bad feeling about this. I have never been wrong about anything. I hope I am this time.,Tengo un mal presentimiento. Nunca me equivoco en nada. Espero que esta vez sí.
PROPQUEST_SCENARIO_INC_000439,"Please, once more, check the Field of Bubble and the Hill of Shade. I am sure that there is more to be found!","Por favor, una vez más, revisa la Llanura de Bubble y la Colina de Shade. ¡Estoy segura de que hay más por descubrir!"
PROPQUEST_SCENARIO_INC_000441,Chapter 3 Purple Magician: The Great Magician Laola,(Capítulo 3) El Mago Violeta: La Gran Maga Laola
PROPQUEST_SCENARIO_INC_000442,"Oh, you are here finally. I cannot say that your arrival is entirely a surprise. I am Laola the Great Magician *cough* *cough*.","Oh, por fin estás aquí. No puedo decir que tu llegada sea del todo una sorpresa. Soy Laola, la Gran Maga *cof* *cof*."
PROPQUEST_SCENARIO_INC_000443,"I can see in your face that you do not believe me. I guess, looking at myself, I do not look like such a Great Magician.","Puedo ver en tu cara que no me crees. Supongo que, mirándome a mí misma, no parezco una Gran Maga."
PROPQUEST_SCENARIO_INC_000444,Magic always has a high cost and I used some terrible magic back then.,La magia siempre tiene un alto precio y yo usé una magia terrible hace un tiempo.
PROPQUEST_SCENARIO_INC_000445,"But never mind that, show me the bead you brought, I can feel its power from here.","Pero no importa, muéstrame la perla que trajiste, puedo sentir su poder desde aquí."
PROPQUEST_SCENARIO_INC_000446,"Yes, this is it. I have to check this first, so please come back to me in a minute.","Sí, es esta. Tengo que comprobar algo primero, así que por favor vuelve en un minuto."
PROPQUEST_SCENARIO_INC_000447,"*cough* *cough* Hey, do not be too greedy. Something that powerful could corrupt you to your core. *cough* *cough*","*cof* *cof* Oye, no seas demasiado codicioso. Algo tan poderoso podría corromperte hasta la médula. *cof* *cof*"
PROPQUEST_SCENARIO_INC_000448,"Hmmm I did not know he could make something like this, but I cannot say that I am surprised.","Hmmm, no sabía que él era capaz de hacer algo así, pero no puedo decir que me sorprenda."
PROPQUEST_SCENARIO_INC_000449,"It is no secret why I am called the Great Magician. Though, I have learned that being a great magician, does not make you a great person. *cough*","No es ningún secreto que me llaman la Gran Maga. Sin embargo, he aprendido que ser un gran mago no te convierte en una gran persona. *cof*"
PROPQUEST_SCENARIO_INC_000450,"This is it. I have to check this first, so please come back to me in a minute.","Es esta. Tengo que comprobar algo primero, así que por favor vuelve en un minuto."
PROPQUEST_SCENARIO_INC_000452,Chapter 3 Purple Magician: Identity of the Purple Magician,(Capítulo 3) El Mago Violeta: Identidad del Mago Violeta
PROPQUEST_SCENARIO_INC_000453,"*cough* *cough* This bead, with all of its power, was crafted by the only pupil I ever had, Lapranche. *cough*","*cof* *cof* Esta perla, con todo su poder, fue creada por el único aprendiz que he tenido, Lapranche. *cof*"
PROPQUEST_SCENARIO_INC_000454,She is the Black Magician. I was also the Black Magician at one point. We have often been confused for each other throughout history. *Sigh* It seems that Lapranche found out about them.,Ella es la Maga Negra. Yo también fui el Mago Negro. A menudo nos han confundido el uno con el otro a lo largo de la historia. *Parece que Lapranche los descubrió.
PROPQUEST_SCENARIO_INC_000455,"You believe in them now right? If you are looking to me for answers about what they were, you are wasting your time. All I know is that they created all of Madrigal and that they were once agents of Rhisis.","¿Ahora crees en ellos, verdad? Si estás buscando respuestas en mi sobre lo que eran, estás perdiendo el tiempo. Todo lo que sé es que ellos crearon todo Madrigal y que alguna vez fueron agentes de Rhisis."
PROPQUEST_SCENARIO_INC_000456,"Yes Lapranche found out about them and attempted to bring them back to this world with the Purple Magic, the same magic that drained me of so much.","Sí, Lapranche encontró algo sobre ellos e intentó traerlos de vuelta a este mundo con la Magia Violeta, la misma magia que me consumió."
PROPQUEST_SCENARIO_INC_000457,Do me a favor would you?,Hazme un favor ¿quieres?
PROPQUEST_SCENARIO_INC_000459,You are afraid. I am not surprised. The world hangs in the balance. Who would not be scared? Go on. Get out of here.,Tienes miedo. No me sorprende. El mundo pende de un hilo. ¿Quién no estaría asustado? Sigue adelante. Vete.
PROPQUEST_SCENARIO_INC_000460,What a terrible... Where did they come from? Did you see them? Renegade Blades seemingly hired to kill me. It would appear that I know too much. What is that you have there?,Es terrible.. ¿De dónde han salido? ¿Los has visto? Parece que han contratado Blades Renegados para matarme. Parece que sé demasiado. ¿Qué es eso que tienes ahí?
PROPQUEST_SCENARIO_INC_000461,"Oh, this! Is this the book that Laola wrote? Amazing",¡Oh esto! ¿Es este el libro que escribió Laola? Increíble.
PROPQUEST_SCENARIO_INC_000462,"Fine. Now we can begin the real reconstruction of the history of our world. Thank you. Oh, I may need you later on. See you then.","Vale. Ahora podemos comenzar la verdadera reconstrucción de la historia de nuestro mundo. Gracias. Emm, puede que te necesite más tarde. Hasta luego."
