Key,English,French
PROPSKILL_TXT_000107,Decreases the damage from physical & magical attacks on a target.,Augmente la défense physique et magique de la cible.
PROPSKILL_TXT_000108,Holyguard,Aura sacrée
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited amount of time.,Empêche la cible de recevoir des coups critiques pendant un certain temps.
PROPSKILL_TXT_000110,Spirit Fortune,Force spirituelle
PROPSKILL_TXT_000112,Gvur Tialla,Clarté de l'esprit
PROPSKILL_TXT_000113,Removes de-buffs from a target.,Guérit la cible de tous les effets négatifs qui l'affectent.
PROPSKILL_TXT_000114,Geburah Tiphreth,Eveil de Tipehreth
PROPSKILL_TXT_000115,"This ability draws upon the inner strength of the user & nearby party members, increasing both Attack Power and Attack Speed for a limited time.",Cristallise la volonté de tous les membres du groupe proches du Prêtre et augmente leur puissance d'attaque et leur vitesse d'attaque.
PROPSKILL_TXT_000116,Merkaba Hanzelrusha,Halo de Merkabah
PROPSKILL_TXT_000117,Enemies take damage over time in an area around you.,Attaque ancestrale qui inflige des dégâts à répétition à tous les ennemis situés à proximité du Prêtre.
PROPSKILL_TXT_000118,Belial Smashing,Toucher du lotus
PROPSKILL_TXT_000119,Deals five powerful blows to the enemy.,Précipite le Moine sur l'ennemi pour lui administrer cinq rapides coups de poing.
PROPSKILL_TXT_000120,Piercing Serpent,Décharge martiale
PROPSKILL_TXT_000121,Fires a piercing beam at the target.,Décharge la force du Moine sur un ennemi.
PROPSKILL_TXT_000122,Blood Fist,Effusion de sang
PROPSKILL_TXT_000123,Strikes a heavy blow to the enemy that causes bleeding to the target.,"Frappe avec force le point faible de l'ennemi, pouvant le faire saigner et perdre des PV en continu."
PROPSKILL_TXT_000124,Sonichand,Déflagration sonique
PROPSKILL_TXT_000125,"Fast, straight punch.",Canalise la puissance du Moine et inflige des coups de poing destructeurs.
PROPSKILL_TXT_000126,Asmodeus,Asmodeus
PROPSKILL_TXT_000127,Increases striking power.,Augmente la puissance d'attaque du moine lorsqu'il combat avec un poing.
PROPSKILL_TXT_000128,Baraqijal Esna,Mots de faiblesse
PROPSKILL_TXT_000129,"Increases damage dealt to the target, but also increases targets attack.","Inflige un châtiment à l'ennemi, réduisant sa défense, mais augmentant son attaque."
PROPSKILL_TXT_000130,Bgvur Tialbold,Jugement divin
PROPSKILL_TXT_000131,Strikes at nearby enemies with an outward shockwave.,Libère une redoutable onde de choc sur les ennemis à proximité du Moine.
PROPSKILL_TXT_000132,Asalraalaikum,Paume de Bouddha
PROPSKILL_TXT_000133,Fully concentrated strike. Always Consumes 100% MP.,Technique martiale millénaire qui utilise tous les PM du Moine pour délivrer un coup d'une extrême violence.
PROPSKILL_TXT_000134,Flame Ball,Arc de feu
PROPSKILL_TXT_000135,Strikes at the enemy with a ball of flame. Chance to reduce the targets healing capabilities.,Lance un arc de feu sur l'ennemi. Peut réduire les capacités de soin de la cible.
PROPSKILL_TXT_000136,Flame Geyser,Brûlure
PROPSKILL_TXT_000137,Damages the enemy continuously with a geyser of flame.,Invoque un geyser de flammes qui inflige des dégâts continus à l'ennemi.
PROPSKILL_TXT_000138,Swordwind,Coup de vent
PROPSKILL_TXT_000140,Strongwind,Bourrasque
PROPSKILL_TXT_000141,"Ranged, wind attack that moves the enemy.",Invoque un vent fort causant des dommages à l'ennemi et le faisant reculer.
PROPSKILL_TXT_000142,Blinkpool,Téléportation
PROPSKILL_TXT_000143,Allows you to teleport.,Sort instantané qui permet de se téléporter sur une courte distance dans la direction indiquée.
PROPSKILL_TXT_000144,Ice Missile,Chute de glace
PROPSKILL_TXT_000145,Blasts the enemy with a missile of ice. Chance to reduce the speed of the target.,Lance un projectile de glace causant des dommages et pouvant ralentir l'ennemi.
PROPSKILL_TXT_000146,Lightning Ball,Electricité
PROPSKILL_TXT_000147,Damages the enemy with a ball of static. Chance to reduce the targets defense.,Lance une décharge d'électricité sur l'ennemi. Peut réduire sa défense.
PROPSKILL_TXT_000148,Stone Spike,Stalagmite
PROPSKILL_TXT_000149,Damages an enemy with a stone spike. Chance to stun the enemy.,Invoque un pic de pierre infligeant des dégâts et pouvant étourdir l'ennemi.
PROPSKILL_TXT_000150,Mental Strike,Fouet mental
PROPSKILL_TXT_000151,Ranged Mental attack.,Inflige une attaque mentale à l'ennemi.
PROPSKILL_TXT_000152,Fire Strike,Sphère de feu
PROPSKILL_TXT_000153,Damages an enemy with a fire ball.,Projette une énorme sphère de feu sur l'ennemi.
PROPSKILL_TXT_000154,Wind Cutter,Lame de vent
PROPSKILL_TXT_000155,"Ranged, wind attack. Reduces fire resistance of the target.","Propulse une lame de vent sur l'ennemi, réduisant sa résistance au feu."
PROPSKILL_TXT_000156,Waterball,Boule de glace
PROPSKILL_TXT_000157,A water attack that shoots multiple water orbs at your target.,Projette des boules de glace sur l'ennemi. Le nombre de boules lancées augmente avec le niveau de cette compétence.
PROPSKILL_TXT_000158,Water Well,Colonne d'eau
PROPSKILL_TXT_000159,Splashes the enemy with a water attack.,Invoque une colonne d'eau sur l'ennemi.
PROPSKILL_TXT_000160,Lightning Ram,Boule de foudre
PROPSKILL_TXT_000161,Damages the enemy with an electric ball,Projette une boule d'électricité sur l'ennemi
PROPSKILL_TXT_000162,Lightning Shock,Choc de foudre
PROPSKILL_TXT_000163,Damages the enemy with a small but fast lightning ball.,Frappe l'ennemi d'un éclair de foudre.
PROPSKILL_TXT_000164,Rock Crash,Eboulement
PROPSKILL_TXT_000165,Damages the enemy with a giant stone.,Invoque la chute d'un gros rocher sur l'ennemi.
PROPSKILL_TXT_000166,Rooting,Enracinement
PROPSKILL_TXT_000167,Prevents an enemy from approaching.,Immobilise l'ennemi pendant une courte période.
PROPSKILL_TXT_000168,Demonology,Démonologie
PROPSKILL_TXT_000169,Damages the enemy with a mental blast and reduces their attack power.,"Utilise la science des démons pour endommager l'âme de l'ennemi, réduisant sa puissance d'attaque."
PROPSKILL_TXT_000170,Satanology,Satanologie
PROPSKILL_TXT_000172,Psychic Bomb,Bombe psychique
PROPSKILL_TXT_000173,Damages the enemy with a ball of mental energy.,Lance une puissante attaque psychique infligeant des dommages.
PROPSKILL_TXT_000174,Psychic Wall,Barrière psychique
PROPSKILL_TXT_000175,Creates a wall that pushes an enemy back and damages them & reduces their speed if they touch it.,"Invoque une barrière psychique entre le Sorcier et l'ennemi, qui est repoussé, ralenti et reçoit des dommages s'il tente de la traverser."
PROPSKILL_TXT_000176,Spirit Bomb,Explosion de mana
PROPSKILL_TXT_000177,Does damage to an enemy through the power of your mind.,Does damage to an enemy through the power of your mind.
PROPSKILL_TXT_000178,Crucio Spell,Affliction
PROPSKILL_TXT_000179,Deals damage to an enemy equal to 1.75x the amount the enemy deals.,"Enveloppe le Sorcier d'une aura magique qui répercute sur l'ennemi 1,75x les dégâts reçus."
PROPSKILL_TXT_000180,Maximum Crisis,Nova psychique
PROPSKILL_TXT_000181,Damages surrounding enemies in a strong mental barrier. Small chance to stun targets.,Violente déflagration qui endommage tous les ennemis proches du Sorcier et a une faible chance de les étourdir.
PROPSKILL_TXT_000182,Psychic Square,Monde parallèle
PROPSKILL_TXT_000183,Damages the enemies around you with a psychic blast.,Plonge tous les ennemis proches du Sorcier dans le chaos et leur inflige de considérables dégâts.
PROPSKILL_TXT_000184,Firebird,Oiseau de feu
PROPSKILL_TXT_000185,Damages the enemy with a fire blast.,Invoque un oiseau formé de feu qui charge l'ennemi.
PROPSKILL_TXT_000186,Fire Mastery,Maître du feu
PROPSKILL_TXT_000187,"Increases the striking power of fire spells,",Augmente la puissance de frappe des sorts basés sur le feu.
PROPSKILL_TXT_000190,Lightning Strike,Orage de foudre
PROPSKILL_TXT_000191,Damages the enemy with a bolt of lightning.,Fait s'abattre un orage de foudre sur l'ennemi.
PROPSKILL_TXT_000192,Lightning Mastery,Maître de la foudre
PROPSKILL_TXT_000193,Increases the striking power of electric spells.,Augmente la puissance de frappe des sorts basés sur la foudre.
PROPSKILL_TXT_000194,Electric Shock,Champ électrique
PROPSKILL_TXT_000195,Damage surrounding enemies with electricity. Magic Resistance of the enemies decreases.,"Couvre la zone autour de l'Élémentaliste d'un puissant champ électrique, réduisant la résistance magique des ennemis touchés."
PROPSKILL_TXT_000196,Stone Spear,Lance de pierre
PROPSKILL_TXT_000197,Damages an enemy with a stone spear.,Projette des éclats de pierre sur l'ennemi.
PROPSKILL_TXT_000198,Earth Mastery,Maître de la terre
PROPSKILL_TXT_000199,Increases the striking power of earth spells.,Augmente la puissance de frappe des sorts basés sur la terre.
PROPSKILL_TXT_000200,Earthquake,Tremblement de terre
PROPSKILL_TXT_000201,Damages surrounding enemies area. Has a chance to lower the attack of the target.,Déclenche un puissant tremblement de terre qui endommage la cible et les ennemis autour d'elle. Peut diminuer l'attaque de la cible.
PROPSKILL_TXT_000202,Iceshark,Missile de glace
PROPSKILL_TXT_000203,Ranged attack that fires an ice projectile.,Projette des éclats de glace sur l'ennemi.
PROPSKILL_TXT_000204,Water Mastery,Maître de l'eau
PROPSKILL_TXT_000205,Increases striking power of water spells.,Augmente la puissance de frappe des sorts basés sur l'eau.
PROPSKILL_TXT_000206,Poison Cloud,Nuage toxique
PROPSKILL_TXT_000207,Poisons all enemies in the surrounding area.,Invoque un nuage toxique qui inflige des dégâts et peut empoisonner les ennemis se trouvant dans la zone.
PROPSKILL_TXT_000208,Void,Tornade
PROPSKILL_TXT_000209,To attack the enemy by generating a perfect vacuum.,Entaille l'ennemi en générant un champ de vide absolu sur lui.
PROPSKILL_TXT_000210,Wind Mastery,Maître du vent
PROPSKILL_TXT_000211,Increases the striking power of wind spells.,Augmente la puissance de frappe des sorts basés sur le vent.
PROPSKILL_TXT_000212,Windfield,Cyclone
PROPSKILL_TXT_000213,Damages surrounding enemies with a wind attack. The speed of the enemies will be reduced.,Déclenche un cyclone qui inflige des dégâts à la cible et aux ennemis autour d'elle avec une chance réduire leur mobilité.
PROPSKILL_TXT_000214,Meteo Shower,Pluie de météores
PROPSKILL_TXT_000215,Damages surrounding enemies with a falling meteor.,Invoque une pluie de météores qui s'abat sur tous les ennemis de la zone.
PROPSKILL_TXT_000216,Lightning Storm,Tempête de foudre
PROPSKILL_TXT_000217,Damages surrounding enemies with electric blasts. Chance to reduce Critical Damage.,Invoque une tempête de foudre qui s'abat sur tous les ennemis de la zone. Peut diminuer les dégâts critiques de la cible.
PROPSKILL_TXT_000218,Sandstorm,Tempête de sable
PROPSKILL_TXT_000219,Damages surrounding enemies with a sandstorm. Chance to reduce Accuracy.,Invoque une tempête de sable qui s'abat sur tous les ennemis de la zone et a une chance de réduire leur Précision.
PROPSKILL_TXT_000220,Blizzard,Avalanche
PROPSKILL_TXT_000221,Damages surrounding enemies with a snowstorm. Chance to Stun.,Invoque une avalanche qui s'abat sur tous les ennemis de la zone et pouvant les étourdir.
PROPSKILL_TXT_000222,Yo-Yo Mastery,Maître du yo-yo
PROPSKILL_TXT_000223,Increases damage done with a Yo-yo.,Augmente la puissance d'attaque lors d'un combat au yo-yo.
PROPSKILL_TXT_000224,Bow Mastery,Maître archer
PROPSKILL_TXT_000225,Increases damage done with a Bow.,Augmente la puissance d'attaque lors d'un combat à l'arc.
PROPSKILL_TXT_000226,Dark Illusion,Illusion des ténèbres
PROPSKILL_TXT_000227,Become Invisible for a short time.,Permet de se rendre temporairement invisible pendant un court instant ou jusqu'à la prochaine attaque.
PROPSKILL_TXT_000228,Junk Arrow,Flèches multiples
PROPSKILL_TXT_000229,Fire arrows wildly.,"Décoche plusieurs flèches simultanément sur l'ennemi, au détriment de la précision."
PROPSKILL_TXT_000230,Fast Walker,Rapidité
PROPSKILL_TXT_000231,Increases walk speed for a short time,Augmente grandement la vitesse de déplacement.
PROPSKILL_TXT_000232,Aimed Shot,Visée sournoise
PROPSKILL_TXT_000233,Slow shot that has a chance to deal double damage.,"Tire une flèche sur le point faible de l'ennemi, pouvant doubler les dégâts infligés."
PROPSKILL_TXT_000234,Slow Step,Anesthésie
PROPSKILL_TXT_000235,Slows an enemy,"Attaque de faible puissance qui a une chance d'anesthésier l'ennemi, ralentissant ainsi ses déplacements."
PROPSKILL_TXT_000236,Silent Shot,Flèche furtive
PROPSKILL_TXT_000237,A surprise attack that does more damage during Dark Illusion.,Décoche une flèche alors que l'ennemi n'est pas sur ses gardes. L'effet s'en trouve maximisé pendant l'Illusion des ténèbres.
PROPSKILL_TXT_000238,Perfect Block,Barricade
PROPSKILL_TXT_000239,Increases block rate.,Augmente les chances de bloquer une attaque de mêlée.
PROPSKILL_TXT_000240,Arrow Rain,Pluie de flèches
PROPSKILL_TXT_000241,Creates a rain of arrows that does damage over time.,Fait s'abattre une pluie de flèches sur la cible et les ennemis à proximité.
PROPSKILL_TXT_000242,Cross Line,Vacarme
PROPSKILL_TXT_000243,A Yo-yo strike that can cause stun.,"Lance le yo-yo avec force sur l'ennemi, propageant un bruit puissant qui peut également étourdir l'ennemi."
PROPSKILL_TXT_000244,Auto Shot,Flèche lugubre
PROPSKILL_TXT_000245,Fires arrows multiple times. Can reduce enemies Accuracy.,"Décoche une flèche très rapide, pouvant plonger l'ennemi dans les ténèbres et réduire ses chances de toucher."
PROPSKILL_TXT_000246,Snatch,Exaction
PROPSKILL_TXT_000247,Steal penya from a target while in Dark Illusion. Attack from behind.,Inflige un violent coup à l'ennemi tout en lui dérobant une partie de ses Penyas. Nécessite d'être dans le dos de l'ennemi et sous l'effet de l'Illusion des ténèbres.
PROPSKILL_TXT_000248,Counter Attack,Représailles
PROPSKILL_TXT_000249,Execute an attack after the enemy does.,Position de contre-attaque. Le personnage esquive la prochaine attaque de mêlée et riposte.
PROPSKILL_TXT_000250,Deadly swing,Hémorragie
PROPSKILL_TXT_000251,Strong Yo-yo blast. Chance to make the enemy lose health over time.,"Lance le yo-yo avec force sur l'ennemi, pouvant provoquer un saignement qui fait perdre des PV en continu à l'ennemi."
PROPSKILL_TXT_000252,Pulling,Corps à corps
PROPSKILL_TXT_000253,Brings a target to you using Yo-yo.,"Enroule le yo-yo autour de l'ennemi, et le ramène au corps au corps."
PROPSKILL_TXT_000254,Critical Swing,Détermination
PROPSKILL_TXT_000255,Increases chance of critical strike.,Augmente les chances d'infliger un coup critique.
PROPSKILL_TXT_000256,Enchant Poison,Empoisonnement
PROPSKILL_TXT_000257,Adds poison damage to your yo-yo and increases attack power.,"Applique un poison sur le yo-yo, augmentant grandement sa puissance d'attaque et pouvant empoisonner les ennemis."
PROPSKILL_TXT_000258,Enchant Blood,Sanguinaire
PROPSKILL_TXT_000259,Adds blood damage to your yo-yo and increases attack power.,"Aiguise le yo-yo, augmentant grandement sa puissance d'attaque et pouvant faire saigner les ennemis."
PROPSKILL_TXT_000260,Enchant Absorb,Vampirique
PROPSKILL_TXT_000261,Adds the ability to drain HP to your yo-yo and increases attack power.,"Attribue une aura vampirique au yo-yo, augmentant sa puissance d'attaque et pouvant absorber les PV des ennemis."
PROPSKILL_TXT_000262,Multi-Stab,Foudroiement
PROPSKILL_TXT_000263,Strikes the enemy multiple times with the Yo-Yo.,Attaque l'ennemi à plusieurs reprises au yoyo.
PROPSKILL_TXT_000264,Hit of Penya,Pile ou face
PROPSKILL_TXT_000265,Strengthens the attack of a yo-yo by consuming penya.,"Attaque spéciale pouvant infliger des dégâts considérables, mais consomme des Pényas à chaque utilisation."
PROPSKILL_TXT_000266,Escape,Autonomie
PROPSKILL_TXT_000267,Removes all de-buffs.,Retire tous les effets négatifs du Jester.
PROPSKILL_TXT_000268,Vital Stab,Éxécution
PROPSKILL_TXT_000269,Surprise attack while in Dark Illusion.,Attaque ultime qui libère un coup critique d'une rare violence sous l'effet de l'Illusion des ténèbres.
PROPSKILL_TXT_000270,Critical Shot,Célérité
PROPSKILL_TXT_000271,Increase Critical Hit for a limited time.,Augmente le taux de critique du Ranger.
PROPSKILL_TXT_000272,Ice Arrow,Barrage de glace
PROPSKILL_TXT_000273,Slows an enemy down by shooting it with arrows covered in ice.,"Bombarde la zone de flèches glacées, infligeant des dégâts aux ennemis à proximité pouvant ralentir leurs mouvements."
PROPSKILL_TXT_000274,Flame Arrow,Flèche explosive
PROPSKILL_TXT_000275,Gives the fire element to arrows and damages surrounding enemies.,"Tire une flèche explosive, endommageant et brûlant tous les ennemis alentours en continu."
PROPSKILL_TXT_000276,Piercing Arrow,Dard cruel
PROPSKILL_TXT_000277,Increased arrow strike.,Décoche une flèche puissante qui transperce tous les ennemis dans l'axe du tir.
PROPSKILL_TXT_000278,Poison Arrow,Morsure du serpent
PROPSKILL_TXT_000279,Shoots a deadly arrow full of poison at the target. Inflicts Poison.,"Tire une flèche empoisonnée sur l'ennemi, le venin pouvant occasionner des dégâts additionnels sur la durée."
PROPSKILL_TXT_000280,Silent Arrow,Lance de silence
PROPSKILL_TXT_000281,Attacks the enemy and prevents them from casting spells.,"Décoche une flèche destructrice, infligeant de lourds dommages et empêchant l'ennemi d'utiliser ses compétences pendant un certain temps."
PROPSKILL_TXT_000282,Nature,Faveur de la nature
PROPSKILL_TXT_000283,Heightens the users senses with nature to increase Magic Defense & Bow Range.,Augmente la résistance à la magie et la portée du Ranger.
PROPSKILL_TXT_000284,Triple shot,Triforce
PROPSKILL_TXT_000285,Fires three arrows at once. Stuns the target.,"Décoche trois flèches d'affilée, étourdissant l'ennemi sous la grande puissance de l'attaque."
PROPSKILL_TXT_000286,Flash,Cécité
PROPSKILL_TXT_000287,Blinded by the flash of light.,L'éblouissement important empêche d'ouvrir les yeux.
PROPSKILL_TXT_000288,Single Stun,Étourdissement
PROPSKILL_TXT_000290,Stun Group,Étourdissement collectif
PROPSKILL_TXT_000291,You are stunned and you cannot move.,Vous êtes étourdi et ne pouvez bouger.
PROPSKILL_TXT_000292,Damage,Dégâts
PROPSKILL_TXT_000294,Atk. Counter,Contre-attaque
PROPSKILL_TXT_000295,Attack just as an enemy attacks,Attend l'attaque de l'ennemi pour riposter.
PROPSKILL_TXT_000296,Knock back,Repousser
PROPSKILL_TXT_000297,Pushes the enemy back.,Repousse l'ennemi à distance.
