Key,English,French
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Concoction of Swift Footsteps
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Concoction of Swift HP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Concoction of Swift MP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Concoction of Swift FP Recovery
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Sucette
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,Brochette de viande
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Biscuit
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pan Cake,Fruits de mer
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Soupe de poisson
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Pain
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Saucisse mijotée
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Hot dog
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Ragoût de poissons
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Fruits de mer à la vapeur
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Cuisse de poulet
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Sucrerie cosmique
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,Salade de viande
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Pizza du pêcheur
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Gratin
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Curry de l'Île Corail
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Chaise en Bois
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Table en Bois
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Table en bois avec tiroir
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Bibliothèque en Bois
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Sofa en Bois
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Chaise en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Table en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Coiffeuse en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Placard en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Banc en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Armoire en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Lit en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Chaise en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Table en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Coiffeuse en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Placard en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Banc en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Armoire en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Lit en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Chaise en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Table en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Coiffeuse en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Placard en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Banc en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Armoire en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Lit en Bois Rouge
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Chaise Musicale
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Table Musicale
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Coiffeuse Musicale
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Penderie Musicale
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Sofa Musical
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Armoire Musicale
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Lit Musical
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Chaise Moderne
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Table Moderne
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Coiffeuse Moderne
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Penderie Moderne
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Sofa Moderne
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Armoire Moderne
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Lit Moderne
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Chaise Design Noire
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Chaise Design Blanche
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Table Design
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Commode Design
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Bibliothèque Design
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Sofa Design
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Chaise Cœur
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Table Cœur
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Coiffeuse Cœur
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Penderie Cœur
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Sofa Cœur
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Armoire Cœur
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Lit Cœur
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Chaise Confortable
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Plate-Forme de Commandement
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Petite Table
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Commode
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Lit double
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Chaise Royale
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Table Royale
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Coiffeuse Royale
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Penderie Royale
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Sofa Royal
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Lit Royal
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Commode Royale
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Bibliothèque Royale
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Bureau Royal
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Baignoire Royale
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Chaise Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Table Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Coiffeuse Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Penderie Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Sofa Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Lit Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Commode Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Bibliothèque Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Bureau Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Baignoire Royale Dorée
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Globe
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Chandelier
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Anneau Vigor
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Anneau Stam
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Anneau Arek
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Boucle d'oreille Plug
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Boucle d'oreille Demol
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Collier Gore
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Collier Mental
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Collier Paison
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted silver ring,Handcrafted silver ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted gold ring,Handcrafted gold ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted platinum ring,Handcrafted platinum ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted diamond ring,Handcrafted diamond ring
