Key,English
UI_EVENT_STONERAIN_DESC,Drop upgrade stones pieces!
UI_EVENT_LUCKYRPS,Lucky RPS Event
UI_EVENT_SERVICEMIGRATION,September Connect
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse
UI_EVENT_OKTOBERFEST,Oktoberfest!
UI_EVENT_TIME_TO_HUNT,Time to Hunt
UI_EVENT_TIME_TO_HUNT_DIALOG,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?"
UI_EVENT_TRICKORTREAT,Trick or Treat
UI_EVENT_HALLOWEEN_WORLDBOSS,Halloween World Bosses
UI_EVENT_CATCHTHETHIEFSANTA,Catch the Thief Santa
UI_EVENT_NEWYEAR,New Year
UI_EVENT_BOSSDROPBOOST,Boss Drop Boost!
UI_EVENT_BOSSDROPBOOST_DESC_20,Dungeon Boss Drop+20%!
UI_EVENT_WEATHERBOOST,Weather Boost!
UI_EVENT_13SURVEY,1.3 Update Survey! Aim for special rewards!
UI_EVENT_ATTACK_OF_THE_SNOW_CLONES,Attack of the Snow Clones
UI_EVENT_LETTER_COLLECTION,2024 Valentine's Day
UI_EVENT_LETTER_COLLECTION_DESC,Exchange letters with a loved one or friend to complete the phrases below!!!
UI_EVENT_LETTER_COLLECTION_PT50,50 points
UI_EVENT_LETTER_COLLECTION_PT100,100 points
UI_EVENT_LETTER_COLLECTION_PT150,150 points
UI_EVENT_LETTER_COLLECTION_PT200,200 points
UI_EVENT_CANDYEVENT,Candy Event
UI_EVENT_GRAND_SPRING_HIDE_HUNT,Spring 2024 Event
UI_EVENT_ATTACK_OF_THE_HUNGRY_MONSTERS,Attack of the Hungry Monsters
UI_EVENT_2ND_ANNIVERSARY_CONNECTION,Daily Connection
UI_EVENT_2ND_ANNIVERSARY_CONNECTION_DESC,Let's celebrate for 2nd anniversary of Flyff Universe!
UI_EVENT_ANNIVERSARY2,2nd Anniversary!
UI_EVENT_ANNIVERSARY2_DESC,FlyFF Universe is turning 2! A huge thank you to all of our players who made this milestone possible!
UI_EVENT_ANNIVERSARY2_CAKE,Cake
UI_EVENT_COUPLE_RING_OF_LEGEND,Couple Ring from the Legend
UI_EVENT_EXPBOOST_DESC_100,Experience x2!
UI_EVENT_DROPBOOST_DESC_100,Drop Chance x2!
UI_EVENT_INSTANCE_DUNGEON_COOLDOWN,Instance Dungeon Cooldown
UI_EVENT_UPGRADEBOOST,Upgrade Boost!
UI_EVENT_UPGRADEBOOST_DESC_100,Upgrade Chance x2!
UI_EVENT_2024_VACANCE,2024 Vacance Event
UI_EVENT_2024_VACANCE_DESC,Obtain EXP and event items in the dungeon and own a permanent costume!
UI_EVENT_ROLL_DICE,Roll your Lucky Dice!
UI_EVENT_ROLL_DICE_DESC,Complete Daily Quests to earn an opportunity to roll the dice for rewards!
UI_EVENT_20_ANNIVERSARY,Flyff's 20th Anniversary
UI_EVENT_20_ANNIVERSARY_DESC,Celebrate Flyff's 20th anniversary!
UI_EVENT_PIRATESHIP,Plunder the treasure from the Pirate Ship!
UI_EVENT_THANKSGIVING,Thanksgiving Event
UI_EVENT_FISHINGCHAMPION,1.4.1 Update Celebration
UI_EVENT_145_ATTENDANCE,Login Event
UI_EVENT_145_ATTENDANCE_DESC,Login each day for 30 minutes and receive rewards!
UI_EVENT_LIFEGATHERINGMASTERY,Life Gathering Mastery Event
UI_EVENT_LIFEGATHERINGMASTERY_DESC_20,Increase your life gathering mastery gain by 20%!
UI_EVENT_LIFEPRODUCTIONMASTERY,Life Production Mastery Event
UI_EVENT_LIFEPRODUCTIONMASTERY_DESC_20,Increase your life production mastery gain by 20%!
UI_EVENT_LIFEMASTERY,Life Mastery Event
UI_EVENT_LIFEMASTERY_DESC_20,Increase your whole life mastery gain by 20%!
UI_EVENT_LIFEGATHERINGSPEED,Life Gathering Speed Event
UI_EVENT_LIFEGATHERINGSPEED_DESC_20,Increase your life gathering speed by 20%!
UI_EVENT_LIFEPRODUCTIONSPEED,Life Production Speed Event
UI_EVENT_LIFEPRODUCTIONSPEED_DESC_20,Increase your life production speed by 20%!
UI_EVENT_LIFEGATHERINGDURABILITY,Life Gathering Durability Cost Reduction Event!
UI_EVENT_LIFEGATHERINGDURABILITY_DESC_1,Reduces by 1 the durability cost when gathering!
UI_EVENT_LIFEWANDERINGMERCHANTRENEWAL,Life Wandering Marchant Renewal Event!
UI_EVENT_LIFEWANDERINGMERCHANTRENEWAL_DESC_30,The wandering merchant's renewal will occur 30 minutes earlier during the event!
UI_EVENT_LIFEGATHERINGSPAWN,Increased Life Gathering Spawn Event!
UI_EVENT_LIFEGATHERINGSPAWN_DESC_20,Increase gathering objects spawn count by 20%!
UI_EVENT_LIFEWANDERINGMERCHANTITEMS,Life Wandering Merchant Items!
UI_EVENT_LIFEWANDERINGMERCHANTITEMS_DESC_2,The maximum item count in the wandering merchant's shop has been increased by 2 during the event!
UI_EVENT_3RD_ANNIV_FIELDBOSS,3rd Anniversary Field Boss Event
UI_EVENT_FWC_PREDICTION,FWC Prediction Event
UI_EVENT_FWC_PREDICTION_DESC,FWC Championship Prediction Event!
UI_EVENT_TIMETOUPGRADE,It's time to Upgrade!
UI_EVENT_TIMETOUPGRADE_DESC,"Achieve each upgrade level of 1~10 once during the event to receive rewards. Upon clearing all 10 stages, receive an Ultimate Accessory Selection Box."
UI_EVENT_PTS,Public Test Server
UI_EVENT_PTS_DESC,"Rates are increased, dungeon cooldowns are reduced, and more! Visit the discord for more information."
