Key,English,Thai
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,เมื่อวันก่อนฉันเกือบถูก Blades คนทรยศฆ่า แต่ตอนนี้ฉันไม่สามารถหยุดได้ ไม่ว่าสมาคมประวัติศาสตร์ต้องการอะไร
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,คุณจะช่วยฉันโดยไม่คำนึงถึงอันตรายหรือไม่?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.",ฉันรู้ว่าคุณจะทำ! ขั้นแรก นำหิน 5 ก้อนมาให้ฉันจากแต่ละทวีปที่มีผู้คนอาศัยอยู่ 3 แห่ง แต่ละทวีปมีแท่นบูชา นำหินจากแต่ละแห่งมาให้ฉัน
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,ขอบคุณที่รับฟังฉัน ฉันเข้าใจถ้าคุณไม่เต็มใจที่จะเสี่ยงชีวิตของคุณ
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,อืม... เป็นตามที่ฉันคาดไว้ ฉันอยากจะศึกษามันเพิ่มเติม แต่ก่อนที่คุณจะไป ได้โปรด...
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.",คุณควรระวังให้มาก ฉันแน่ใจว่ามีนักฆ่าที่พยายามจะฆ่าฉัน และคุณคือรายถัดไป
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","โปรดนำหิน 5 ก้อนจากแต่ละเมืองมาให้ฉัน - Flaris, Darkon และ Saint Morning ขอให้โชคดี!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,มีแท่นบูชาโบราณในแต่ละเมือง โปรดนำหิน 5 ก้อนจากแต่ละเมืองมาให้ข้าด้วย
PROPQUEST_SCENARIO_INC_000327,Plot Begins,พล็อตเริ่มต้น
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...",นี่เป็นหลักฐานว่าทวีปต่างๆ เคยเป็นมวลแผ่นดินเดียว ฉันไว้วางใจคุณกับข้อมูลนี้เพราะ...
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,ตอนนี้เราอยู่ในเรือลำเดียวกัน เราอยู่ในอันตรายด้วยกัน คุณจะไปกับฉันจนจบมั้ย?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,ตกลง กรุณาส่งสิ่งนี้ให้ Gothante ด้วย เขาเป็นประธานสมาคมประวัติศาสตร์ใน Saint City อย่าลืมที่จะตระหนักถึงการลอบสังหาร
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.",ฉันไม่ต้องการที่จะบังคับคุณ แต่อย่าลืมว่าคุณตกอยู่ในอันตราย
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,นี่.. นี่มัน.. ขอบับเบิ้ลโปรดปกป้องเรา Martinyc มันล้ำเส้นไปแล้ว ที่เหลือก็ขึ้นกับเวลา
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,ขอบคุณมาก ใช้จดหมายแนะนำนี้แล้วไปหา Hachal ใน Darkon 1
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,ฉันแน่ใจว่าเขาสามารถช่วยคุณได้ ดูแลตัวเองด้วย!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,คุณต้องการที่จะรู้เกี่ยวกับประวัติศาสตร์ที่แท้จริงของ Madrigal หรือไม่? งั้นก็มาคุยกับฉัน
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.",ส่งสิ่งนี้ให้ Gothante เขาเป็นประธานสมาคมประวัติศาสตร์ใน Saint City
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,บทที่ 1 ทุ่งฟองสบู่
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,อืม? Gothante บอกให้คุณมาเยี่ยมฉันเหรอ เพราะอะไร
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?",อ้อ เข้าใจแล้ว Iblis คอยดูแลข้า ข้อมูลนี้มันคืออะไร!? ใครจะขุดอดีตได้มากขนาดนี้ ด้วยคนคนเดียวเนี่ยนะ?
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,Martinyc แน่นอน ในที่สุดเธอก็ทำในสิ่งที่เราทุกคนรู้ว่าเธอจะทำ เธอไม่กลัวความตาย เด็กสมัยนี้กล้าหาญเกินไป
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,เราทุกคนรู้ดีว่าในที่สุดประวัติศาสตร์ที่แท้จริงของ Madrigal จะถูกค้นพบ และเราทุกคนรู้ว่า Martinyc จะเป็นผู้ค้นพบมัน
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,อีกอย่าง... คุณจะทำต่อไหม?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,ดี เราจะไปที่ทุ่งฟองสบู่ มีหลักฐานเพิ่มเติมที่จะพบได้ที่นั่น รีบไปเถอะ
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.",อะไร ไม่นะ คุณหยุดตอนนี้ไม่ได้ คุณมาไกลมากแล้ว
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,อ่า ในที่สุดคุณก็มาถึง ขอข้อมูลและจดหมายแนะนำให้ฉันด้วย
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,ที่นี่แปลกมาก... อืม... ทุ่งแห่ง Bubble... คุณคิดยังไง?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!",คุณรู้จัก Field of Bubble ใช่ไหม? ฉันคิดว่าเราสามารถหาหลักฐานได้ที่นั่น ไปกันเถอะ! รีบไป!
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,บทที่ 1: ทุ่งฟองสบู่: รูปแบบแปลก ๆ
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,ก่อนที่คุณจะปรากฏตัว ฉันลองสำรวจรอบๆ และพบสิ่งแปลกปลอมทางทิศเหนือ มีดินถูกขุดขึ้นมาและ...
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,เหมือนมีลวดลายอะไรสักอย่าง ฉันจะเข้าไปดูใกล้ๆ เพราะมันล้อมรอบเต็มไปหมด
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,คนแปลกๆ อยู่รอบๆ ที่นั่น ฉันคิดว่าพวกเขากำลังปกป้องอะไรบางอย่าง ไม่มีทางที่ฉันจะต่อสู้กับพวกเขาได้
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,คุณจะตรวจสอบมั้ย? ฉันแน่ใจว่าพวกเขาไม่เหมาะกับคุณ
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,ยอดเยี่ยม! ฉันแน่ใจว่ามีบางอย่างในรูปแบบนั้น ตรวจสอบอย่างใกล้ชิดและนำสิ่งที่คุณพบมาให้ฉัน
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,คุณพร้อมที่จะยอมแพ้จริงๆ หรือไม่? ฉันไม่สามารถบังคับคุณได้ แต่คิดถึงอนาคต
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,โอ้! นี้! ตำนานคือ...! Martinyc พูดถูก! โอ้ เราควรทำอย่างไรตอนนี้ Iblis กำลังจ้องฉันอยู่!
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,พวกนั้นแข็งแกร่งเกินไปสำหรับคุณหรือ? นำผู้คนจำนวนมากขึ้นไปกับคุณและตรวจสอบต่อไป ฉันไม่แข็งแรงพอที่จะช่วยคุณกับพวกเขา
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,ฉันแน่ใจว่าเราสามารถค้นหาบางสิ่งได้โดยการตรวจสอบรูปแบบ โปรดตรวจสอบอย่างระมัดระวังและนำสิ่งที่คุณได้รับมาให้ฉัน
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,บทที่ 1: ทุ่งฟองสบู่: คณะนักมายากลสีม่วง
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,อืม.. ฉันเช็คเสื้อผ้าที่คุณเอามาให้ฉันแล้ว ดูเหมือนว่าลวดลายบนผืนผ้าจะเหมือนกับลวดลายที่ฉันเห็นบนพื้น
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.",อย่างไรก็ตาม มีพลังลึกลับอยู่ในผ้าชิ้นนี้ ฉันจะตรวจสอบเพิ่มเติม คุณเคยได้ยินเรื่อง Magic Troupe in Purple หรือไม่? ฉันค้นพบเกี่ยวกับพวกเขาโดยบังเอิญ
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.",ฉันไม่รู้รายละเอียด แต่ฉันรู้ว่ากลุ่มนี้มีบางอย่างเกี่ยวกับความลับของ Madrigal
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,ฉันคิดว่าเราต้องการข้อมูลเพิ่มเติมเกี่ยวกับคณะนี้ ช่วยฉันอีกสักครั้งจะเป็นไรไป? คุณจะทำอย่างนั้นเพื่อฉันไหม
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,ยอดเยี่ยม! กรุณารวบรวมข้อมูลเกี่ยวกับคณะและสมาชิก คุณจะต้องต่อสู้กับพวกเขาเพื่อรับข้อมูลจากพวกเขา
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,คุณกลัวพวกเขาไหม แทบไม่อยากเชื่อเลย ฮ่าๆๆ
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,อืม... นั่นแหละที่ฉันคิดไว้ กลับไปพักผ่อนเถอะ แต่โปรดกลับมาหาฉันอีกครั้งในภายหลัง ขอบคุณมาก
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,มันมากเกินไปสำหรับคุณหรือไม่? อา... แต่เราต้องการข้อมูลเกี่ยวกับพวกเขา
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,ต่อสู้กับพวกเขาเพื่อรับข้อมูลจากพวกเขา ฉันจะไปพบคุณที่ Darken
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,บทที่ 2 เนินเขาแห่งเงา
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,เฮ้! ช่วงเวลาที่ยอดเยี่ยม! ฉันเพิ่งค้นพบสิ่งที่น่าสนใจมาก
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.",คุณรู้ไหมว่านี่คืออะไร? ฉันแน่ใจว่าคุณไม่รู้หรอก แต่ฉันจะบอกคุณ
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,นี่คือภาพทั้งหมดของรูปแบบที่เราพบ ฉันพบมันในหนังสือเล่มหนึ่งของฉัน แต่มันเป็นภาพเดียวที่ฉันสามารถหาได้
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,ฉันต้องการให้คุณช่วยอีกครั้ง คุณช่วยฉันหน่อยได้ไหม
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,ถ่ายภาพนี้ โปรดส่งไปที่ Rovanett ในหอสมุดแห่งชาติใน Saint City คุณสามารถหาเธอได้ที่ Saint Hall
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,เฮ้ เราทำเรื่องนี้ด้วยกันนะ เราลงเรือลำเดียวกันแล้ว คุณควรทำดีกว่าเพื่อช่วยฉัน คุณก็รู้
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,อืม... นี่คือสิ่งที่ Hachal พูดเหรอ?เยี่ยม! ขอบคุณมาก ขอให้ฉันได้ตรวจสอบก่อน.
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,ประวัติศาสตร์มักจะน่าสนใจกว่าเหตุการณ์ปัจจุบันเสมอ แต่สิ่งนี้ลึกลับเป็นพิเศษ
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,ที่นี่ ถ่ายภาพนี้ โปรดส่งให้ Rovanett ที่ทำงานในหอสมุดแห่งชาติใน Saint City คุณสามารถหาเธอได้ใน Saint Hall
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,บทที่ 2 เนินเขาแห่งเงา: หัวหน้าคณะผู้ยิ่งใหญ่
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,โอ้ เรื่องราวของคุณเกี่ยวกับรูปแบบนี้ ทำให้ฉันนึกถึงบางสิ่งที่ฉันอ่านในตำราโบราณเล่มหนึ่ง
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,คุณรู้จักเนินเขาแห่งเงาหรือไม่? ฉันพบมันในหนังสือเล่มหนึ่งของฉัน แต่กล้าที่จะไปที่นั่นเพียงครั้งเดียว
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,มีรูปแบบคล้ายกับที่คุณเห็นในทุ่งแห่ง Bubble หรืออาจจะเหมือนกันหมด ถ้าสองลายนี้เหมือนกัน
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,..บางทีคุณอาจหาผ้าผืนนั้นก็ได้ ลองไปเช็คดูไหม?
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,ขอบคุณ โปรดตรวจสอบรูปแบบใน Hill of Shade โอ้! ระวังด้วย เพราะมีบางอย่างที่ดุร้ายอยู่ตรงนั้น!
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,ฉันเข้าใจ แต่ถ้ามีโอกาสคุณช่วยตรวจสอบได้ไหม
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.",Iblis คุ้มครอง คุณดูแย่มาก ฉันขอบคุณการทำงานหนักของคุณ คุณทำงานพิเศษ ขอฉันเปรียบเทียบผ้าทั้งสองชิ้น
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,บางทีสัตว์ประหลาดที่ฉันพูดถึงก่อนหน้านี้อาจมากเกินไปสำหรับคุณที่จะรับมือมั้ง? คุณสามารถลองอีกครั้งหากต้องการขึ้นอยู่กับคุณ
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,โปรดตรวจสอบรูปแบบใน Hill of Shade โอ้! โปรดระวัง เพราะมีบางอย่างที่ดุร้ายอยู่ตรงนั้น!
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,บทที่ 2 เนินเขาแห่งเงา: ประวัติศาสตร์แห่งความยากลำบาก
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,ฉันตรวจสอบข้อมูลที่ฮาชาลให้เสร็จแล้ว โปรดส่งสิ่งนี้ไปที่ Hachal
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,ฉันหวังว่าคุณจะยังคงโชคดีเหมือนที่เคยเป็นมา
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,ถ้าไม่ใช่คุณแล้วใคร? งานนี้ไม่มีใครทำได้!
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,อืม... เป็นเรื่องราวแห่งความความยากลำบาก เขาให้สิ่งนี้กับคุณหรือ? ยอดเยี่ยม ถ้าเขาบอกว่าสิ่งนี้จะเป็นประโยชน์ ฉันก็คิดว่างั้น
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,แล้วพบกันใหม่ ดูแลตัวเองด้วย
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,โรวาเนตต์พูดอะไรหรือเปล่า? นั่นไม่สมเหตุสมผลเลย โปรดมาเยี่ยมเธออีกครั้ง เธอคงมีอะไรจะพูดกับคุณ
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,ฉันตรวจสอบข้อมูลที่ Hachal ร้องขอเสร็จแล้ว โปรดส่งสิ่งนี้ไปที่ Hachal
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,บทที่ 3 นักมายากลสีม่วง
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,เฮ้ ดูเหมือนว่าแท่นบูชาและคณะละครเวทย์มนตร์จะมีส่วนเกี่ยวข้องด้วย..
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,จอมเวทสีม่วงในหนังสือนี้เล่าว่า จอมเวทดำ และ จอมเวทสีม่วง เป็นคนเดียวกัน คนเดียวกับที่ต่อสู้เคียงข้างเหล่าผู้กล้าในช่วงสงคราม ฟังดูมันไม่สมเหตุสมผลเลย
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.",ไม่น่าเชื่อจริงๆ แต่ก็เป็นสิ่งที่เราควรเชื่อด้วย
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,ฉันคิดว่านี่เป็นสิ่งที่ดีที่สุดที่ฉันสามารถทำได้ตอนนี้ แต่ฉันจะไม่หยุดค้นหาความจริง
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,คุณ! ฉันอยากให้คุณแสดงสิ่งนี้ให้ใครดู คุณทำอย่างนั้นตอนนี้ได้ไหม
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,ใช่! โปรดส่งมอบสิ่งนี้ให้กับ Gothante ใน Saint City เขาเป็นหัวหน้าสมาคมประวัติศาสตร์
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,ฉันเข้าใจว่าคุณมีอย่างอื่นที่ต้องทำ แต่นี่เป็นสิ่งสำคัญมาก รีบกลับมาล่ะ
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,เฮ้! ไม่ได้เจอกันนานเลยนะ! คุณพบ Hachal หรือไม่? นี่คืออะไร?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,โอ้.. Bubble กป้องเรา! เรื่องจริงหรือนี่? โอ้.. โอ้.. เรื่องมันใหญ่เกินไปที่จะรับมือคนเดียว
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?",ฉันดีใจมากที่ได้พบคุณอีกครั้ง แต่ Hachal บอกให้คุณพบฉันเหรอ เพื่ออะไร?
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,โปรดส่งมอบสิ่งนี้ให้กับ Gothante ใน Saint City
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,บทที่ 3 นักมายากลสีม่วง: ความลับของแท่นบูชา
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,อืม... ฉันมีทฤษฎีที่ดีอยู่บ้าง แต่เราต้องการข้อมูลเพิ่มเติมเกี่ยวกับแท่นบูชาและคณะละครเวทมนตร์
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,ฉันคิดว่ามีบางอย่างอยู่ในแท่นบูชา ฉันมีความรู้สึกอย่างแรงกล้าว่าเราสามารถหาบางอย่างที่นั่นได้ ถ้าเรามองอย่างใกล้ชิดพอ
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,ฟังนะ นี่เป็นสิ่งสำคัญมาก อยู่กับสิ่งนี้จนจบ ตกลงมั้ย?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,กรุณาตรวจสอบแท่นบูชาจนกว่าจะพบหลักฐาน
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.",อะไรจะสำคัญไปกว่านี้? โอเค ไปเถอะ
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,อืม.. ทุกอย่างเขียนด้วยภาษาโบราณ แต่เราสามารถถอดความได้ ขอบคุณ
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,โปรดกลับมาหาฉันหลังจากการแปลเสร็จสิ้น ให้ฉันนำหนังสือเล่มนี้ไปให้นักแปล
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.",คุณสามารถตรวจสอบแท่นบูชาทั้ง 3 แท่น นำหลักฐานที่คุณพบมาที่แท่นบูชาใดก็ได้
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,กรุณาตรวจสอบแท่นบูชาจนกว่าคุณจะพบสิ่งที่สำคัญ
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,บทที่ 3 นักมายากลสีม่วง: ลูกปัดลึกลับ
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,ฉันแปลหนังสือเสร็จแล้ว นักมายากลสีม่วงกับนักมายากลสีดำคือคนเดียวกัน! เหมือนที่ Hachal พูดเป๊ะ!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,ดูเหมือนว่าแท่นบูชาสีม่วงสร้างขึ้นโดยนักมายากลม่วงเพื่อประกอบพิธีทางศาสนา
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,ดูเหมือนว่าพวกเขากำลังพยายามที่จะก้าวข้ามไปสู่การดำรงอยู่ที่ดีขึ้น แต่ยังไงล่ะ?
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!",และเช่นเคย ฉันมีทฤษฎีที่ดีอยู่สองสามข้อ แต่ฉันต้องการข้อมูลเพิ่มเติม ข้อมูลมากขึ้นเสมอ! ฉันต้องการคำตอบตอนนี้!
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?",คุณช่วยฉันอีกครั้งได้ไหม ฉันสามารถเห็นความอยากรู้อยากเห็นในดวงตาของคุณ เหมือนกับของฉัน ฉันถูกไหม?
