Key,English,German
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Concoction of Swift Footsteps
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Concoction of Swift HP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Concoction of Swift MP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Concoction of Swift FP Recovery
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Lollipop
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,Meat Skewer
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Biscuit
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pan Cake,Seafood Pan Cake
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Fish Soup
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Roll Bread
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Currywurst
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Hot Dog
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Fish Stew
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Steamed Seafood
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Chicken Stick
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Star Candy
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,Meat Salad
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Seafood Pizza
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Gratin
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Koralleninsel Curry
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Holztisch
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Holzkommode
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Holzbücherschrank
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Holzsofa
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Gelber Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Gelber Holztisch
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Gelber Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Gelber Holzschrank
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Gelbe Holzbank
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Gelbes Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Gelbes Holzbett
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Blauer Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Blauer Holztisch
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Blauer Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Blauer Holzschrank
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Blaue Holzbank
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Blaues Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Blaues Holzbett
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Roter Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Roter Holztisch
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Roter Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Roter Holzschrank
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Rote Holzbank
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Rotes Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Rotes Holzbett
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Musik-Stuhl
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Musik-Tisch
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Musik-Frisiertisch
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Musik-Garderobe
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Musik-Sofa
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Musik-Kabinett
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Musik-Bett
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Moderner Stuhl
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Moderner Tisch
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Moderner Frisiertisch
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Moderne Garderobe
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Modernes Sofa
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Modernes Kabinett
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Modernes Bett
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Schwarzer Design-Stuhl
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Weißer Design-Stuhl
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Design-Tisch
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Design Kommode
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Design-Bücherschrank
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Design-Sofa
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Herz-Stuhl
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Herz-Tisch
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Herz-Frisiertisch
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Herz-Garderobe
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Herz-Sofa
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Herz-Kabinett
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Herz-Bett
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Polsterstuhl
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Kommandoplattform
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Kleiner Tisch
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Kommode
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Einzelbett
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Königlicher Stuhl
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Königlicher Tisch
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Königlicher Frisiertisch
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Königliche Garderobe
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Königliches Sofa
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Königliches Bett
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Königliche Kommode
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Königlicher Bücherschrank
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Königlicher Schreibtisch
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Königliches Bad
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Königlicher Goldstuhl
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Königlicher Goldtisch
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Königlicher Frisiertisch aus Gold
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Königliche Goldgarderobe
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Königliches Goldsofa
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Königliches Goldbett
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Königliche Goldkommode
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Königlicher Goldbücherschrank
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Königlicher Goldschreibtisch
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Königliches Goldbad
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Rotierender Globus
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Kronleuchter
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Vigor Ring
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Stam Ring
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Arek Ring
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Plug Earring
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Demol Earring
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Gore Necklace
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Mental Necklace
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Peision Necklace
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted silver ring,Handcrafted silver ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted gold ring,Handcrafted gold ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted platinum ring,Handcrafted platinum ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted diamond ring,Handcrafted diamond ring
