Key,English,German
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,"Ich bin sehr skeptisch. Ich bezweifle, dass die Gesellschaft für Geschichte diesen Fehler beheben wird, obwohl sie davon wissen. Aus diesem Grund habe ich es selbst überprüft. "
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,"An einem anderen Tag wurde ich beinahe getötet. Im späteren Verlauf habe ich herausgefunden, warum die Gesellschaft für Geschichte den Fehler nicht beheben will."
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,"Bist du bereit, dieses Risiko für mich einzugehen? "
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","Ich wusste, dass du mir helfen würdest. Bitte besuche die 3 Altäre von Violet. Auf jedem Kontinent ist einer der Altäre versteckt. Bringe mir von jedem Altar 5 Steine."
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,"Wenn du nicht dein Leben riskieren möchtest, will ich dich nicht zwingen. Danke, dass du mir zugehört hast."
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,"Das ist genau das, was ich erwartet habe. Ich werde das noch weiter studieren, aber bevor du gehst, bitte..."
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.","...du solltest sehr, sehr vorsichtig sein. Ich bin mir fast sicher, dass die Attentäter, die versucht haben, mich zu töten, hinter euch her sein werden."
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","Bitte bringe mir 5 Felsen von jeden Kontinent - 5 aus Flaris, 5 aus Darkon und 5 aus Saint Morning. Viel Glück!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,"Es gibt auf jedem Kontinent einen Altar. Bring mir von jedem Altar 5 Steine. 5 aus Flaris, 5 aus Darkon und 5 aus Saint Morning."
PROPQUEST_SCENARIO_INC_000327,Plot Begins,Das Abenteuer beginnt
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...","Dies ist ein Beweis dafür, dass die Kontinente einst eine einzige Landmasse waren. Ich vertraue dir diese Informationen an, weil, nun ja..."
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,...wir sitzen jetzt im selben Boot. Wir sind gemeinsam in Gefahr. Würdest du mit mir bis zum Ende durchhalten?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,Bringe dies jetzt bitte zu Gothante. Er ist der Vorsitzende des Historiker Verbandes in Saint Morning. 
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.","Ich möchte dich nicht dazu zwingen, aber vergiss nie das du in Gefahr bist."
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,Das.. Das ist.. Oh je. Martinyc hat es letzten Endes doch getan. Oh..
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,Auf alle Fälle danke ich dir vielmals. Ich will dir den Letter of Recommendation geben. Bitte bringe diesen zu Hachal in Darkon 1.
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,Ich bin sicher er kann dir Helfen. Sei vorsichtig!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,Du willst was über die wahre Geschichte von Madrigal erfahren? Dann sprichst du mit der richtigen Person.
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.",Okay. Bringe dies jetzt bitte zu Gothante. Er ist der Vorsitzende der Geschichtsgesellschaft in Saint Morning. Vergiss nicht dich vor den Attentätern in acht zu nehmen.
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,Kapitel 1: Die Ebene von Bubble
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,"Hm? Sagte dir Gothante, dass du mich aufsuchen sollst? (Du übergibst ihm die Daten und den Letter of Recommendation) Was? Was ist das?"
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?",(Er liest den Letter of Recommendation) Ja. Das ist definitiv das Siegel von Gothante. (Überprüft die Daten) Hmm.. Oh mein Gott! Das!
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,Oh.. Marinyc hat es letzten endes getan.. Letzen endes.. Hatte er sich nicht gefürchtet getötet zu werden? Die Jugend ist heutzutage zu furchtlos.
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,"Jedoch, das ist wirklich eine große Sache! Nun ist es uns möglich die umfassende Vergangeheit von Madigral zu erfahren! Ha ha ha~"
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,Nebenbei... Du! Wirst du das hier fortsetzen?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,"Schön. Du kennst die Ebene von Bubble, oder? Ich denke wir können dort ein paar Beweise finden. Lass uns gehen Schnell!"
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.",Was..? Hey.. Du kannst jetz nicht aufgeben. Du bist sehr wichtig dafür. 
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,Hallo~ Ich denke ich bin ein bisschen zu früh. Bitte gib mir die Daten und den Letter of recommendation.
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,Dieser Platz ist sehr seltsamm... Hmm... Ebene von Bubble... Was denkst du darüber?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!","Du kennst die Ebene von Bubble, oder? Ich denke wir können dort ein paar Beweise finden. Lass uns gehen! Schnell!"
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,Kapitel 1: Field of Bubble: Das seltsame Muster
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,"Bevor du gekommen bist, habe ich mich hier umgesehen und fand etwas seltsames im Norden. Der Boden war umgegraben und.."
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,"...es sah aus wie eine Art Muster. Ich konnte es mir genau ansehen, weil es umgeben war."
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,"Es ist wegen den seltsamen Burschen die da rumlaufen. Ich denke, dass sie etwas bewachen. Deshalb konnte ich das nicht überprüfen. Weisst du.. Ich bin kein guter Kämpfer.."
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,Würdest du es bitte überprüfen? Ich denke du kannst sie leicht besiegen!
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,"Schön! Ich bin sicher wir finden etwas, wenn wir die Muster untersuchen. Bitte überprüfe es gründlich und bringe mir was auch immer du findest."
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,Du willst wirklich aufgeben? Nun.. Ich kann dich nicht dazu zwingen... Auf jeden Fall danke ich dir vielmals. Aber ich mache mir sorgen um deine Zukunft... Puh..
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,Oh! Das! Die Legende ist... Martinyc hatte recht! Oh... Was sollen wir jetzt tun... Iblis wache über mich!
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,"Diese Burschen.. Ja. Die sind nicht so einfach, wenn du deshalb gescheitert bist es zu prüfen. Warum tritst du nicht einer Party bei und versuchst es nochmal?"
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,"Ich bin sicher wir finden etwas, wenn wir die Muster untersuchen. Bitte überprüfe es gründlich und bringe mir was auch immer du findest."
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,Kapitel 1 Ebene von Bubble: Die magische Truppe in Lila
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,"Hmm ... Ich habe das Stoffstück, das du mir gebracht hast, überprüft. Es scheint, dass das Muster auf dem Stoffstück dasselbe ist wie das, das ich auf dem Boden gesehen habe."
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.","Es scheint irgendeine mysteriöse Kraft in diesem Stück Stoff zu sein. Ich werde mir das nochmal genau anschauen. Übrigens, hast du jemals von der magischen Truppe in Lila gehört? Ich habe zufällig etwas über sie gelesen."
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.","Ich kenne keine Einzelheiten, aber ich weiss, dass diese Truppe etwas mit den Geheimnissen um Madigral zu tun hat."
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,"Da ist einiges, was ich überprüfen muss in dieser Truppe. Was ist, hilfst du mir nocheinmal? Würdest du das für mich tun?"
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,"Schön! Bitte suche für mich nach Informationen über die Violet Magician Troupe. Diese erhälst du, indem du gegen sie kämpfst. Ich erwarte dich dann in Darkon."
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,Hast du Angst vor ihnen? Bist du ein feiges Huhn? Ha ha ha~
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,"Hmm.. Das ist genau das, was ich gedacht habe.. Nun gehe zurück und mache eine Pause. Aber vergiss nicht mich wieder zu besuchen. Danke dir vielmals."
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,"Ist es jenseits deiner Möglichkeit..? Aber wir können nicht weiter machen, ohne diese Informationen über sie."
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,Bitte forsche für mich nach den Informationen der Troupe Leaders und Members. Du kannst die Informationen bekommen in dem du gegen sie kämpfst. Ich gehe nun zurück nach Darkon. Ich werden dorrt auf dich Warten.
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,Kapitel 2: Hill of Shade
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,"Hey! Du kommst im rechten Moment! Ich habe etwas heraus gefunden, dass sehr interessant ist. Du willst wissen was es ist? Wirklich es ist.."
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.","(Er spricht mit jemanden hinter ihm) Das ist es! Du willst wissen was es ist? nun... Du erinnerst dich an die Cloth Pieces, die du mir gebracht hast.. oder?"
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,"Das ist es, das ganze Bild von dem Muster war auf einen der Cloth piece. Ich fand es durch die alte Daten, die ich habe, aber dieses Bild ist das einzige, was ich habe."
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,"Wir brauchen mehr Daten, um es bis ins Detail zu prüfen.. Ich brauche deine Hilfe erneut. Würdest du mir einen Gefallen tun? "
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,Nimm dieses Bild. Bitte bring es zu Rovanett in der Nationalbibliothek in Saint City. Du findest sie in Saint Hall.
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,"Hey~ Wir sitzen im selben Boot! Es ist besser, wenn du mir hilfst. Du weisst das. "
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,"Hmm.. Ist es das, was Hachal sagt? Gute Arbeit. Vielen Dank. Lass es mich prüfen. "
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,"Die Aufzeichnungen der Ältesten sind jedes mal mysteriöser, als die Geschichten heutzutage, aber diese ist besonders myteriös."
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,"Hier. Nimm dieses Bild. Bitte bringen Sie es zu Rovanett, die in der Nationalbibliothek in Saint City arbeitet. Du findest sie in Saint Hall."
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,Kapitel 2 Hill of Shade: Der Anführer der Truppe
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,"Oh~ Deine Geschichte der Muster erinnert mich an etwas, dass ich in den Inhalten eines alten Dokuments studiert habe."
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,"Kennst du den Hill of Shade? Ich habe in einem meiner Bücher über ihn gelesen, mich aber nur einmal kurz dort hingetraut."
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,"Dort sind ähnliche Muster, wie diese auf der Ebene von Bubble. Wenn die beiden Muster die selben sind.."
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,...vielleicht findest du dort auch ein Stück Stoff. Bitte schau mal nach.
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Danke. Bitte schau dich auf dem Hügel von Shade nach dem Muster um. Oh! Bitte sei vorsichtig. Da ist irgendetwas ziemlich wildes dort drüben!
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,"Das ist okay, aber bitte überprüfe es, wenn du Zeit hast. Es würde sehr hilfreich sein."
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.","Oh mein Gott.. Du siehst schrecklich aus.. Ich sehe es dir an, dass es wirklich schwer für dich gewesen sein muss.. gute Arbeit. Ich will nun diese Cloth Pieces auch überprüfen."
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,Irgenwas ziemlich wildes ist dort drüben.. Vieleicht solltest du nicht alleine dort hin gehen..
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Bitte schau dich auf dem Hügel von Shade nach dem Muster um. Oh! Bitte sei vorsichtig. Da ist irgendwas ziemlich wildes dort drüben!
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,Kapitel 2 Hill of Shade: Geschichte der Bitternis
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,"Ich bin fertig mit dem überprüfen der Daten, die Hachal angefordert hat. Bitte bringe sie zu Hachal."
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,"Ich hoffe, dass du erfolgreich sein wirst, wenn du soweit bist. "
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,..Du willst es ihm wirklich nicht bringen? hmm..
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,Hmm.. Geschichte von Hardship. Also hat er es dir gegeben? Gute Arbeit. Dies sollte seiner Meinung nach sehr hilfreich sein.
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,Ich sehe dich später. Sei vorsichtig.
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,Hat Rovanett etwas gesagt? Das ergibt keinen Sinn. Bitte besuche ihn noch einmal. Er hat Dir bestimmt etwas zu sagen.
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,"Ich bin fertig mit dem überprüfen der Daten, die Hachal angefordert hat. Bitte bringe sie zu Hachal."
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,Kapitel 3: Lila Magier
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,"Hey. Es scheint, als hätten der Altar und die Zaubertruppe etwas zu tun mit..."
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,".. der lila Magier in diesem Buch. Geschichte der Bitternis. Da steht nur dass der schwarze Magier und der lila Magier die gleiche Person sind. Die gleiche Person, die an der Seite der Helden in den Heldenkriegen gekämpft hat. Das ergibt keinen Sinn."
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.","Eigentlich ist es wirklich unglaublich, aber es ist auch etwas, was wir glauben sollten."
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,"Ich denke es ist das beste, wenn ich es herausfinde, ich gebe nicht auf ehe ich die Wahrheit herausgefunden habe."
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,"Du! Ich möchte, dass du dich mit jemanden triffst. Kannst du das jetzt machen?"
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,"Ja. Das ist etwas, was ich selber herausgefunden habe. Bitte bringe es zu Gothante. Er ist der Leiter der Geschichtsgesellschaft in Saint City."
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,"Vieleicht hast du etwas dringendes zu erledigen. Bitte komm so schnell zurück, wie du kannst, weil es auch sehr dringend ist."
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,Hey! Lange nicht mehr gesehen! Hast du Haka getroffen? (Er erhält was ich ihm bringe) Was ist das?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,Oh.. Oh je! ist das wahr? Oh.. Oh.. Das ist auch ein Weg zum großen Erfolg..
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?","Ich bin wirklich erfreut dich wieder zusehen, aber sagte dir Haka, dass du mich treffen sollst? Für was?"
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,"Das ist etwas was ich selber herausgefunden habe. Bitte bringe es zu Gothante, er ist der Leiter der Geschichtsgesellschaft in Saint City"
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,Kapitel 3 Lila Magier: Das Geheimnis des Altars
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,"Hmm ... Ich habe ein paar gute Theorien, aber wir brauchen mehr Informationen über den Altar und die Magische Truppe."
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,"Ich denke da ist etwas in den Altaren... Ich habe die starke Vermutung, dass wir dort ein paar Beweise finden, wenn wir sie gründlich untersuchen."
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,Hör mir zu. Das ist sehr wichtig. Bitte tue mir diesen Gefallen wenn du soweit bist. Okay?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,"Bitte untersuche den Altar in lila, bis du ein paar Beweise gefunden hast."
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.",Was in aller Welt kann dem noch in die Quere kommen? Durchfall?
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,Hmm ... Alles ist in einer alten Sprache geschrieben. Aber wir können es übersetzen. Ich danke dir.
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,Bitte komm wieder wenn die Übersetzung fertig ist. Ich bringe es zu einem Übersetzer. 
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.","Du kannst alle drei Altare untersuchen, aber du braucht die anderen nicht untersuchen, wenn du den Beweis bei einen der drei findest."
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,"Bitte untersuche den Altar in lila, bis du ein paar Beweise gefunden hast."
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,Kapitel 3 Lila Magier: Eine mysteriöse Perle.
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,Ich habe das Buch endlich fertig übersetzt. Der lila Magier und der schwarze Magier sind ein und dieselbe Person! Genau wie Hachal gesagt hat!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,"Es sieht so aus, als ob der purpurne Altar von dem Magier in Purpur für eine Art von religiösem Dienst gemacht wurde."
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,"Der Cloth Pieces zufolge, die Martinyc uns gab, stand da etwas über eine übersinnliche Existenz."
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!","Ich vermute die Ausführung der religiösen Dienste galten der übersinnlichen Existenz, aber es gibt dafür keinen Beweis. So..."
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?",Ich würde dich gerne bitten mir erneut zu helfen. Ich denke du willst auch wissen wie das Resultat aussieht. Liege ich da richtig?
PROPQUEST_SCENARIO_INC_000433,Very well! Then please check the Field of Bubble and the Hill of Shade more carefully. I am really sure there is something over there!,"Gut! Dann untersuche bitte die Ebene von Bubble und den Hügel von Shade sorgfältig. Ich bin mir ziemlich sicher, dass du dort etwas finden wirst!! "
PROPQUEST_SCENARIO_INC_000434,"Fine, return to me when you get the time.","Wenn du nichts spezielles zu tun hast, hoffe ich das du dieses zuerst erledigst."
PROPQUEST_SCENARIO_INC_000435,Oh... What a strong magical power this bead has... Oh... What a surprise!,Huh? Oh.. Oh was für eine starke magische Energie diese Perle hat.. Oh.. Welch Überraschung..!!
PROPQUEST_SCENARIO_INC_000436,"Good job...But something like this is completely out of my range. Let me think for a moment. Yes, I have it!","Gute Arbeit... Aber so etwas liegt völlig außerhalb meiner Möglichkeiten. Ich muss einen Moment nachdenken. Ja, ich habe es!"
PROPQUEST_SCENARIO_INC_000437,Please deliver this to the Great Magician Laola in Darkon 3.,Bitte bringe dies zu Laola. Sie ist die große Magierin in Darkon3 Ainceknight.
PROPQUEST_SCENARIO_INC_000438,I have a bad feeling about this. I have never been wrong about anything. I hope I am this time.,Ist es schwer herauszufinden? Aber es ist möglich! Ja!! Meine Vorahnungen lagen nie falsch. (sorgend)
PROPQUEST_SCENARIO_INC_000439,"Please, once more, check the Field of Bubble and the Hill of Shade. I am sure that there is more to be found!","Dann untersuche bitte die Ebene von Bubble und den Hügel von Shade sorgfältig. Ich bin mir ziemlich sicher, dass du dort etwas finden wirst!!"
PROPQUEST_SCENARIO_INC_000441,Chapter 3 Purple Magician: The Great Magician Laola,Kapitel 3 Lila Magier: Der Großmagier Laola
PROPQUEST_SCENARIO_INC_000442,"Oh, you are here finally. I cannot say that your arrival is entirely a surprise. I am Laola the Great Magician *cough* *cough*.","Oh, du bist endlich gekommen. Ich kann nicht sagen dass deine Ankunft eine Überraschung ist. Ich bin Laola, der Großmagier *hust* *hust*."
PROPQUEST_SCENARIO_INC_000443,"I can see in your face that you do not believe me. I guess, looking at myself, I do not look like such a Great Magician.","(betrachtet mein Gesicht) Es scheint, dass du mir nicht glaubst. Nun. Ich gebe zu ich sehe nicht grade wie ein große Zauberin aus."
PROPQUEST_SCENARIO_INC_000444,Magic always has a high cost and I used some terrible magic back then.,"Ich habe vor langer Zeit schreckliche Magie verwendet, seit diesem Zeitpunkt, musste ich mit diesem Aussehen leben. Ho Ho~"
PROPQUEST_SCENARIO_INC_000445,"But never mind that, show me the bead you brought, I can feel its power from here.","Auf jeden Fall, wolltest du mir die Perle zeigen du du mitgebracht hast?"
PROPQUEST_SCENARIO_INC_000446,"Yes, this is it. I have to check this first, so please come back to me in a minute.","Ja, hier ist es. Ich muss das erst überprüfen, also kommen Sie bitte gleich wieder zu mir."
